Time_Period,CEV_1_A0_kWh,CEV_1_A1S_kWh,CEV_1_A2S_kWh,CEV_1_A1R_kWh,CEV_1_A2R_kWh
1,14.8,14.8,14.8,14.8,14.8
2,13.63003850156888,13.63003850156888,13.63003850156888,13.63003850156888,13.63003850156888
3,12.23442883838622,14.8,12.23442883838622,12.23442883838622,12.23442883838622
4,11.192444651535867,13.404390336817341,11.192444651535867,11.192444651535867,11.192444651535867
5,10.269707232879203,12.362406149966988,12.714193153444779,10.269707232879203,12.82388692094281
6,12.269707232879203,11.439668731310324,12.034157361429601,11.153075000000001,11.901149502286145
7,10.664384272396768,9.83434577082789,10.428834400947167,9.547752039517567,10.295826541803711
8,12.664384272396768,11.59437500000001,12.334283663490963,8.80548853964925,12.295826541803711
9,11.922120772528451,10.852111500131693,11.411546244834298,10.363425,11.553563041935394
10,10.508421560163406,9.438412287766647,10.669282744965981,9.683389207984822,10.873527249920217
11,9.138374376331623,8.068365103934864,12.519672155729594,11.573775,10.133692421043907
12,8.0,9.967175,11.105972943364549,10.160075787634954,11.882927190813625
13,9.127825000000003,9.287139207984822,9.735925759532766,9.420240958758644,13.88079646964597
14,11.127825000000003,8.326940710759393,11.496846333887197,8.460042461533215,12.467097257280924
15,10.167626502774574,9.987775,10.536647836661768,10.396250000000002,11.506898760055496
16,9.487590710759397,9.24794017112369,9.352120266829516,9.026202816168219,10.136851576223712
17,8.236692395475696,8.06341260129144,8.612285437953206,8.303215926455046,8.95232400639146
18,8.236692395475696,8.06341260129144,10.612285437953206,8.303215926455046,8.95232400639146
19,8.236692395475696,8.06341260129144,12.612285437953206,8.303215926455046,10.95232400639146
20,8.236692395475696,8.06341260129144,14.612285437953206,8.303215926455046,10.95232400639146
21,8.236692395475696,8.06341260129144,14.8,8.303215926455046,12.95232400639146
22,9.036692395475697,8.8,14.8,8.800000000000004,12.95232400639146
23,11.036692395475697,10.8,14.8,10.800000000000004,12.95232400639146
24,13.036692395475697,12.8,14.8,12.800000000000004,14.8
25,14.8,14.8,14.8,14.8,14.8
26,13.732147768354785,13.5491016847163,13.5491016847163,13.615472430167749,13.5491016847163
27,12.453997355510465,12.481249453071083,12.481249453071083,12.364574114884048,12.481249453071083
28,11.236582637706368,11.263834735266986,14.481249453071083,11.147159397079951,14.481249453071083
29,9.60546429340027,13.263834735266986,13.263834735266986,10.079307165434734,13.263834735266986
30,11.503139293400272,11.985684322422665,12.540847845553813,12.079307165434734,12.540847845553813
31,10.763304464523962,10.354565978116568,11.262697432709492,10.801156752590414,11.262697432709492
32,10.04031757481079,9.631579088403395,9.631579088403395,9.992065045089104,9.631579088403395
33,9.23122586730948,8.822487380902086,11.631579088403395,8.790680399298358,11.631579088403395
34,8.000394652845314,10.756825,10.822487380902086,9.967175,10.822487380902086
35,10.000394652845314,9.525993785535833,9.59165616643792,8.736343785535833,9.59165616643792
36,8.799010007054568,9.525993785535833,8.390271520647174,8.78965,8.390271520647174
37,8.0,8.324609139745087,10.390271520647174,8.0,10.390271520647174
38,10.0,10.324609139745087,12.390271520647174,8.0,12.390271520647174
39,12.0,10.324609139745087,14.390271520647174,8.800000000000013,14.390271520647174
40,14.0,12.324609139745087,14.8,10.800000000000013,14.799999999999983
41,14.0,12.324609139745087,14.8,10.800000000000013,14.799999999999983
42,14.0,14.324609139745087,14.8,12.800000000000013,14.799999999999983
43,14.0,14.324609139745087,14.8,12.800000000000013,14.799999999999983
44,14.0,14.324609139745087,14.8,14.8,14.799999999999983
45,14.0,14.324609139745087,14.8,14.8,14.799999999999983
46,14.0,14.8,14.8,14.8,14.799999999999983
47,14.0,14.8,14.8,14.8,14.799999999999983
48,14.0,14.8,14.8,14.8,14.799999999999983
49,14.0,14.8,14.8,14.8,14.799999999999983
50,14.0,14.8,14.8,14.8,14.799999999999983
51,14.0,14.8,14.8,14.8,14.799999999999983
52,14.0,14.8,14.8,14.8,14.799999999999983
53,14.0,14.8,14.8,14.8,14.799999999999983
54,14.0,14.8,14.8,14.8,14.799999999999983
55,14.0,14.8,14.8,14.8,14.799999999999983
56,14.0,14.8,14.8,14.8,14.799999999999983
57,14.0,14.8,14.8,14.8,14.799999999999983
58,14.0,14.8,14.8,14.8,14.799999999999983
59,14.0,14.8,14.8,14.8,14.799999999999983
60,14.0,14.8,14.8,14.8,14.799999999999983
61,14.0,14.8,14.8,14.8,14.799999999999983
62,14.0,14.8,14.8,14.8,14.799999999999983
63,14.0,14.8,14.8,14.8,14.799999999999983
64,14.0,14.8,14.8,14.8,14.799999999999983
65,14.0,14.8,14.8,14.8,14.799999999999983
66,14.0,14.8,14.8,14.8,14.799999999999983
67,14.0,14.8,14.8,14.8,14.799999999999983
68,14.0,14.8,14.8,14.8,14.799999999999983
69,14.0,14.8,14.8,14.8,14.799999999999983
70,14.0,14.8,14.8,14.8,14.799999999999983
71,14.0,14.8,14.8,14.8,14.799999999999983
72,14.0,14.8,14.8,14.8,14.799999999999983
73,14.0,14.8,14.8,14.8,14.799999999999983
74,14.0,14.8,14.8,14.8,14.799999999999983
75,14.0,14.8,14.8,14.8,14.799999999999983
76,14.0,14.8,14.8,14.8,14.799999999999983
77,14.0,14.8,14.8,14.8,14.799999999999983
78,14.0,14.8,14.8,14.8,14.799999999999983
79,14.0,14.8,14.8,14.8,14.799999999999983
80,14.0,14.8,14.8,14.8,14.799999999999983
81,14.0,14.8,14.8,14.8,14.799999999999983
82,14.0,14.8,14.8,14.8,14.799999999999983
83,14.0,14.8,14.8,14.8,14.799999999999983
84,14.0,14.8,14.8,14.8,14.799999999999983
85,14.0,14.8,14.8,14.8,14.799999999999983
86,14.0,14.8,14.8,14.8,14.799999999999983
87,14.0,14.8,14.8,14.8,14.799999999999983
88,14.0,14.8,14.8,14.8,14.799999999999983
89,14.0,14.8,14.8,14.8,14.799999999999983
90,14.0,14.8,14.8,14.8,14.799999999999983
91,14.0,14.8,14.8,14.8,14.799999999999983
92,14.0,14.8,14.8,14.8,14.799999999999983
93,14.0,14.8,14.8,14.8,14.799999999999983
94,14.0,14.8,14.8,14.8,14.799999999999983
95,14.0,14.8,14.8,14.8,14.799999999999983
96,14.0,14.8,14.8,14.8,14.799999999999983
97,14.0,14.8,14.8,14.8,14.799999999999983
