Metric,A1S,A2S
Total_Cost_USD,574.94,85.76
Total_Energy_Cost_USD,9.16,9.25
Total_CO2_Cost_USD,0.36,0.38
NC_demand_charge_USD,45.41,46.13
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,500.0,0.0
Travel_Labour_USD,20.0,30.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,28.92,29.92
Total_CO2_Emissions_kg,7.27,7.55
NCD_Peak_kW,2.26,2.29
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.25,0.0
MCS_Transit_hour,1.0,1.5
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,206.54,6499.36
