Time_Period,CEV_1_A1S_kWh,CEV_1_A2S_kWh
1,14.8,14.8
2,13.588557205832943,13.588557205832943
3,12.375694458031436,12.375694458031436
4,14.188779239051065,11.160643706410616
5,12.973728487430245,13.160643706410616
6,11.785507275586928,12.368819527112437
7,12.993394353916475,14.368819527112437
8,11.819790536764021,13.195215709960165
9,13.819790536762834,14.8
10,12.616262486886408,13.611778788156421
11,11.37324559446645,12.408250738279994
12,10.20007970459304,11.165233845860037
13,12.20007970459304,9.992067955986627
14,11.041927396803505,9.992067955986627
15,9.881884769384024,8.832025328567147
16,8.64649660588521,7.67387302077761
17,7.477074498148329,6.438484857278796
18,9.47707449814833,6.438484857278796
19,11.47707449814833,6.438484857278796
20,11.47707449814833,6.438484857278796
21,11.47707449814833,6.438484857278796
22,11.47707449814833,6.438484857278796
23,11.47707449814833,6.438484857278796
24,11.47707449814833,8.438484857278796
25,11.47707449814833,10.438484857278796
26,10.685250318850152,9.269062749541915
27,9.497169650596938,8.0809820812887
28,8.310411475459011,6.894223906150774
29,7.1315566399865755,6.102737217305392
30,7.1315566399865755,8.102737217305393
31,6.340069951141193,7.336369033159419
32,5.573701766995219,6.157514197686983
33,4.812999907789935,8.157514197686982
34,3.640030759032215,7.396812338481698
35,5.049787854787779,6.223843189723978
36,4.249182469779056,5.423237804715256
37,3.4642783478163106,4.638333682752511
38,5.396616929062301,6.638333682752511
39,7.294914898470406,8.63833368275251
40,9.195004479027874,10.63833368275251
41,11.094999764261692,12.63833368275251
42,13.094999764261692,14.63833368275251
43,14.8,14.8
44,14.8,14.8
45,14.8,14.8
46,14.8,14.8
47,14.8,14.8
48,14.8,14.8
49,14.8,14.8
50,14.8,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
