Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A2R_Discharge_kW,A2R_Discharge_cum_kWh,A2R_Work_kW,A2R_CEV1_Activity,A2R_MCS_Status,A2R_minus_A0_cum_kWh
1,08:00,0.0,0.0,5.21798175078444,Digging,Traveling,0.0,0.0,5.21798175078444,Digging,Idle,0.0
2,08:15,5.04473684210517,1.2611842105262925,0.0,Charging,Serving CEV,0.0,0.0,5.30264233159133,Digging,Idle,-1.2611842105262925
3,08:30,-2.1227464230832993e-12,1.2611842105257618,5.30264233159133,Digging,Idle,0.0,0.0,5.281970406574824,Digging,Idle,-1.2611842105257618
4,08:45,0.0,1.2611842105257618,5.281970406574824,Digging,Idle,0.0,0.0,5.341593790671668,Digging,Idle,-1.2611842105257618
5,09:00,7.999999999999997,3.2611842105257614,0.0,Charging,Serving CEV,0.0,0.0,0.0,Idle,Idle,-3.2611842105257614
6,09:15,0.0,3.2611842105257614,5.341593790671668,Digging,Idle,0.0,0.0,0.0,Idle,Traveling,-3.2611842105257614
7,09:30,0.0,3.2611842105257614,5.697998980241216,Traveling,Idle,0.0,0.0,5.697998980241216,Traveling,Idle,-3.2611842105257614
8,09:45,8.0,5.261184210525761,0.0,Charging,Serving CEV,0.0,0.0,5.431830750065842,Digging,Idle,-5.261184210525761
9,10:00,0.0,5.261184210525761,5.431830750065842,Digging,Traveling,0.0,0.0,3.5806071039924117,Loading/Swinging,Idle,-5.261184210525761
10,10:15,0.0,5.261184210525761,5.311687106182523,Digging,Charging (grid),0.0,0.0,3.550707585561845,Loading/Swinging,Idle,-5.261184210525761
11,10:30,0.0,5.261184210525761,5.289861091915892,Digging,Charging (grid),7.776836950556695,1.9442092376391737,0.0,Charging,Serving CEV,-3.3169749728865874
12,10:45,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,1.9442092376391737,5.311687106182523,Digging,Idle,-3.3169749728865874
13,11:00,0.0,5.261184210525761,5.2106987150838755,Digging,Charging (grid),0.0,1.9442092376391737,5.592763251387286,Traveling,Idle,-3.3169749728865874
14,11:15,0.0,5.261184210525761,5.592763251387286,Traveling,Charging (grid),8.0,3.944209237639174,0.0,Charging,Serving CEV,-1.3169749728865874
15,11:30,0.0,5.261184210525761,5.230286657641851,Digging,Charging (grid),0.0,3.944209237639174,5.289861091915892,Digging,Idle,-1.3169749728865874
16,11:45,0.0,5.261184210525761,5.269036384177392,Digging,Charging (grid),0.0,3.944209237639174,5.2106987150838755,Digging,Idle,-1.3169749728865874
17,12:00,0.0,5.261184210525761,0.0,Idle,Charging (grid),8.0,5.944209237639174,0.0,Charging,Serving CEV,0.6830250271134126
18,12:15,0.0,5.261184210525761,0.0,Idle,Charging (grid),8.0,7.944209237639174,0.0,Charging,Serving CEV,2.6830250271134126
19,12:30,0.0,5.261184210525761,0.0,Idle,Charging (grid),3.91581237542932,8.923162331496505,0.0,Charging,Serving CEV,3.661978120970743
20,12:45,0.0,5.261184210525761,0.0,Idle,Charging (grid),8.0,10.923162331496505,0.0,Charging,Serving CEV,5.661978120970743
21,13:00,0.0,5.261184210525761,0.0,Idle,Charging (grid),4.371450011487145,12.016024834368292,0.0,Charging,Serving CEV,6.75484062384253
22,13:15,0.0,5.261184210525761,0.0,Idle,Traveling,3.7144050467217413,12.944626096048728,0.0,Charging,Serving CEV,7.683441885522966
23,13:30,8.0,7.261184210525761,0.0,Charging,Serving CEV,0.0,12.944626096048728,0.0,Idle,Idle,5.683441885522966
24,13:45,8.0,9.261184210525762,0.0,Charging,Serving CEV,0.0,12.944626096048728,0.0,Idle,Idle,3.6834418855229654
25,14:00,0.0,9.261184210525762,5.243912706422161,Digging,Idle,0.0,12.944626096048728,5.230286657641851,Digging,Idle,3.6834418855229654
26,14:15,0.0,9.261184210525762,5.420396672153049,Digging,Idle,0.0,12.944626096048728,5.269036384177392,Digging,Idle,3.6834418855229654
27,14:30,0.0,9.261184210525762,5.504044858902048,Traveling,Idle,0.0,12.944626096048728,5.504044858902048,Traveling,Idle,3.6834418855229654
28,14:45,8.0,11.261184210525762,0.0,Charging,Serving CEV,0.0,12.944626096048728,5.243912706422161,Digging,Idle,1.6834418855229654
29,15:00,0.0,11.261184210525762,3.5806071039924117,Loading/Swinging,Idle,8.0,14.944626096048728,0.0,Charging,Serving CEV,3.6834418855229654
