Time_Period,Clock,A1S_Charging_kW,A1S_Discharging_kW,A2S_Charging_kW,A2S_Discharging_kW
1,08:00,0.0,0.0,0.0,0.0
2,08:15,0.0,4.9234736842235085,0.0,0.0
3,08:30,0.0,0.0,0.0,0.0
4,08:45,0.0,0.0,-0.0,8.0
5,09:00,0.0,6.9281052631514175,0.0,7.520105263157897
6,09:15,0.0,0.0,0.0,0.0
7,09:30,0.0,0.0,0.0,0.0
8,09:45,0.0,8.0,0.0,0.0
9,10:00,0.0,0.0,0.0,7.999999999999726
10,10:15,0.0,0.0,0.0,0.0
11,10:30,0.0,0.0,0.0,0.0
12,10:45,0.0,8.0,0.0,8.0
13,11:00,0.0,0.0,0.0,0.0
14,11:15,0.0,0.0,0.0,0.0
15,11:30,0.0,-1.0408837903391928e-10,0.0,0.0
16,11:45,0.0,0.0,0.0,0.0
17,12:00,0.0,8.0,0.0,8.000000000000023
18,12:15,0.0,6.437257617844565,0.0,0.0
19,12:30,0.0,0.0,1.8669182574790844,0.0
20,12:45,1.9040683001914296,0.0,1.939536003337734,0.0
21,13:00,1.9040683001914296,0.0,1.939536003337528,0.0
22,13:15,1.9040683001914371,0.0,1.939536003337734,0.0
23,13:30,1.9040683001914187,0.0,1.939536003337734,0.0
24,13:45,1.9040683001914371,0.0,1.939536003337734,0.0
25,14:00,1.9040683001914331,0.0,1.939536003337734,0.0
26,14:15,1.9054839298636264,0.0,1.939536003337734,0.0
27,14:30,1.918229811187433,0.0,1.939536003337734,0.0
28,14:45,1.918229811187433,0.0,0.0,0.0
29,15:00,1.9643786458445989,0.0,0.0,8.0
30,15:15,1.9643786458445989,0.0,0.0,0.0
31,15:30,1.9643786458445989,0.0,0.0,0.0
32,15:45,0.0,0.0,0.0,5.106942066194502
33,16:00,0.0,8.0,0.0,0.0
34,16:15,0.0,0.0,0.0,0.0
35,16:30,0.0,0.0,0.0,0.0
36,16:45,0.0,8.0,0.0,0.0
37,17:00,0.0,6.567302230640122,0.0,1.0101607059451112
38,17:15,0.0,7.654352514176833,0.0,8.0
39,17:30,0.0,8.0,0.0,8.0
40,17:45,0.0,8.0,0.0,8.0
41,18:00,0.0,6.7550340782012155,0.0,8.0
42,18:15,0.0,0.0,0.0,8.0
43,18:30,0.0,0.0,0.0,5.841570489160786
44,18:45,0.0,0.0,0.0,0.0
45,19:00,0.0,0.0,0.0,0.0
46,19:15,0.0,0.0,-0.0,0.0
47,19:30,0.0,0.0,-0.0,0.0
48,19:45,0.0,0.0,-0.0,0.0
49,20:00,-0.0,0.0,-0.0,0.0
50,20:15,-0.0,0.0,-0.0,0.0
51,20:30,-0.0,0.0,-0.0,0.0
52,20:45,0.0,0.0,0.0,0.0
53,21:00,1.9643786458445989,0.0,2.110058797607281,0.0
54,21:15,1.9643786458445989,0.0,2.110058797607281,0.0
55,21:30,1.9643786458445989,0.0,2.110058797607281,0.0
56,21:45,1.9643786458445989,0.0,2.110058797607281,0.0
57,22:00,1.9643786458445989,0.0,2.110058797607281,0.0
58,22:15,1.9643786458445989,0.0,2.110058797607281,0.0
59,22:30,1.9643786458445989,0.0,2.110058797607281,0.0
60,22:45,1.9643786458445989,0.0,2.110058797607281,0.0
61,23:00,0.0,0.0,2.110058797607281,0.0
62,23:15,1.9643786458445989,0.0,2.110058797607281,0.0
63,23:30,1.9583550805677419,0.0,2.110058797607281,0.0
64,23:45,0.0,0.0,2.1100587976072362,0.0
65,00:00,1.9643786458445989,0.0,2.110058797607281,0.0
66,00:15,1.9643786458445989,0.0,2.110058797607281,0.0
67,00:30,1.9643786458445989,0.0,2.110058797607281,0.0
68,00:45,1.9643786458445989,0.0,2.110058797607281,0.0
69,01:00,1.9643786458445989,0.0,2.110058797607281,0.0
70,01:15,1.9643786458445989,0.0,2.110058797607281,0.0
71,01:30,1.9643786458445989,0.0,2.110058797607281,0.0
72,01:45,1.9643786458445989,0.0,2.110058797607281,0.0
73,02:00,1.9643786458445989,0.0,2.110058797607281,0.0
74,02:15,1.9643786458445989,0.0,2.110058797607281,0.0
75,02:30,1.9643786458445989,0.0,2.110058797607281,0.0
76,02:45,1.9643786458445989,0.0,2.110058797607281,0.0
77,03:00,1.9643786458445989,0.0,2.110058797607281,0.0
78,03:15,1.9643786458445989,0.0,2.110058797607281,0.0
79,03:30,1.9643786458445989,0.0,2.110058797607281,0.0
80,03:45,1.9643786458445989,0.0,2.110058797607281,0.0
81,04:00,1.9643786458445989,0.0,2.110058797607281,0.0
82,04:15,1.9643786458445989,0.0,2.110058797607281,0.0
83,04:30,1.9643786458445989,0.0,2.110058797607281,0.0
84,04:45,1.9643786458445989,0.0,2.110058797607281,0.0
85,05:00,1.9643786458445989,0.0,2.110058797607281,0.0
86,05:15,1.9643786458445989,0.0,2.110058797607281,0.0
87,05:30,1.9643786458445989,0.0,2.110058797607281,0.0
88,05:45,1.9643786458445989,0.0,2.110058797607281,0.0
89,06:00,1.9643786458437162,0.0,2.110058797606892,0.0
90,06:15,1.9643786458446344,0.0,2.11005879760724,0.0
91,06:30,1.9643786458444175,0.0,2.1100587976072287,0.0
92,06:45,1.964378645844653,0.0,2.110058797607337,0.0
93,07:00,1.9643786458445933,0.0,2.1100587976071585,0.0
94,07:15,1.9643786458446075,0.0,2.1100587976073224,0.0
95,07:30,1.9643786458446233,0.0,2.1100587976073673,0.0
96,07:45,1.9643786458446382,0.0,2.110058797607292,0.0
