Metric,A0,A1S
Total_Cost_USD,159.1,568.14
Total_Energy_Cost_USD,9.11,7.77
Total_CO2_Cost_USD,0.34,0.31
NC_demand_charge_USD,39.82,40.06
OP_demand_charge_USD,-0.0,0.0
Missed_Work_Penalty_USD,0.0,500.0
Travel_Labour_USD,20.0,20.0
Terminal_Shortfall_Penalty_USD,89.84,0.0
Total_Grid_Energy_kWh,28.2,25.91
Total_CO2_Emissions_kg,6.74,6.27
NCD_Peak_kW,1.98,1.99
OPD_Peak_kW,-0.0,0.0
Missed_Work_hour,0.0,0.25
MCS_Transit_hour,1.0,1.0
Terminal_SOE_Shortfall_kWh,0.191,0.0
Infeasible_windows,0,0
Solve_time_s,10.78,96.46
