Metric,A0,A1S,A2S
Total_Cost_USD,69.02,67.1,72.21
Total_Energy_Cost_USD,8.51,8.5,8.24
Total_CO2_Cost_USD,0.34,0.31,0.34
NC_demand_charge_USD,40.17,38.28,43.62
OP_demand_charge_USD,-0.0,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0,0.0
Travel_Labour_USD,20.0,20.0,20.0
Terminal_Shortfall_Penalty_USD,0.0,0.0,0.0
Total_Grid_Energy_kWh,27.79,26.45,26.4
Total_CO2_Emissions_kg,6.84,6.28,6.88
NCD_Peak_kW,2.0,1.9,2.17
OPD_Peak_kW,-0.0,0.0,0.0
Missed_Work_hour,0.0,0.0,0.0
MCS_Transit_hour,1.0,1.0,1.0
Terminal_SOE_Shortfall_kWh,0.0,0.0,0.0
Infeasible_windows,0,0,0
Solve_time_s,34.49,193.71,7487.83
