Time_Period,MCS_1_A1S_kWh,MCS_1_A2S_kWh
1,250.0,250.0
2,250.0,250.0
3,250.0,250.0
4,250.0,250.0
5,250.00000000000003,250.0
6,247.8947368421053,247.89473684210526
7,245.789473684208,245.78947368421052
8,245.789473684208,245.78947368421052
9,243.68421052631325,243.68421052631578
10,243.68421052631325,243.68421052631578
11,244.15810150375685,244.11646164741944
12,244.63199248120046,244.5524078891896
13,245.10588345864406,244.9949667935362
14,245.57977443608766,245.43752569788282
15,246.05470845636103,245.89223779366102
16,246.5296424766344,246.34694988943923
17,247.00520142765566,246.80166198521744
18,247.48076037867693,247.25637408099564
19,247.9563193296982,247.71108617677385
20,248.43187828071947,248.16579827255205
21,248.90743723174074,248.62051036833026
22,249.382996182762,249.07522246410846
23,249.382996182762,249.07522246410846
24,248.0546859334572,246.96995930621372
25,246.01933384131533,244.86469614831898
26,246.01933384131533,244.86469614831898
27,246.01933384131533,244.86469614831898
28,244.1167069431178,244.86469614831898
29,244.1167069431178,244.86469614831898
30,244.1167069431178,242.75943299042424
31,244.1167069431178,242.75943299042424
32,244.1167069431178,242.75943299042424
33,242.01144378522307,242.75943299042424
34,242.01144378522307,242.75943299042424
35,242.01144378522307,242.30494779393644
36,242.01144378522307,242.30494779393644
37,241.92623578263513,242.30494779393644
38,241.80083121767439,240.1996846360417
39,239.69556805977965,238.09442147814696
40,237.5903049018849,235.98915832025222
41,235.7132486324507,233.88389516235748
42,233.70677790978934,231.77863200446274
43,231.6015147518946,229.73985084102785
44,229.71265864034493,229.73985084102785
45,229.71265864034493,229.73985084102785
46,229.71265864034493,229.73985084102785
47,229.71265864034493,229.73985084102785
48,229.71265864034493,229.73985084102785
49,229.71265864034493,229.73985084102785
50,229.71265864034493,229.73985084102785
51,229.71265864034493,229.73985084102785
52,229.71265864034493,229.73985084102785
53,229.71265864034493,229.73985084102785
54,230.1882175913662,230.20030877645902
55,230.66377654238747,230.6607667118902
56,231.13933549340874,231.12122464732138
57,231.61489444443,231.58168258275256
58,232.09045339545128,232.04214051818374
59,232.56601234647255,232.50259845361492
60,233.04157129749382,232.9630563890461
61,233.5171302485151,233.42351432447728
62,233.83099566527662,233.88397225990846
63,234.3065546162979,234.34443019533964
64,234.7821135673192,234.80488813077082
65,234.7821135673192,235.26534606620208
66,235.25767251834048,235.72580400163335
67,235.73323146936178,236.18626193706461
68,236.20879042038308,236.64671987249588
69,236.68434937140438,237.10717780792714
70,237.15990832242568,237.5676357433584
71,237.63546727344698,238.02809367878967
72,238.11102622446828,238.48855161422094
73,238.58658517548957,238.9490095496522
74,239.06214412651087,239.40946748508347
75,239.53770307753217,239.86992542051473
76,240.01326202855347,240.330383355946
77,240.48882097957477,240.79084129137726
78,240.96437993059607,241.25129922680853
79,241.43993888161737,241.7117571622398
80,241.91549783263866,242.17221509767106
81,242.39105678365996,242.63267303310232
82,242.86661573468126,243.0931309685336
83,243.34217468570256,243.55358890396485
84,243.81773363672386,244.01404683939612
85,244.29329258774516,244.47450477482738
86,244.76885153876646,244.93496271025865
87,245.24441048978775,245.3954206456899
88,245.71996944080905,245.85587858112117
89,246.19552839183035,246.31633651655244
90,246.67108734285094,246.77679445198117
91,247.14664629387224,247.23725238741244
92,247.62220524489354,247.6977103228437
93,248.0977641959148,248.15816825827494
94,248.5733231469361,248.6186261937062
95,249.04888209795737,249.07908412913744
96,249.5244410489787,249.53954206456874
97,250.0,250.0
