Metric,A0,A1S
Total_Cost_USD,69.26,65.76
Total_Energy_Cost_USD,9.11,8.03
Total_CO2_Cost_USD,0.34,0.3
NC_demand_charge_USD,39.82,37.44
OP_demand_charge_USD,-0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0
Travel_Labour_USD,20.0,20.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,28.2,25.13
Total_CO2_Emissions_kg,6.74,5.93
NCD_Peak_kW,1.98,1.86
OPD_Peak_kW,-0.0,0.0
Missed_Work_hour,0.0,0.0
MCS_Transit_hour,1.0,1.0
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,10.67,115.0
