Time_Period,Clock,Site_2_A1S_kW,Site_2_A2S_kW
1,08:00,4.4919,4.6773
2,08:15,4.8544,4.7809
3,08:30,4.7653,0.0
4,08:45,3.4832,4.9634
5,09:00,0.0,3.1344
6,09:15,4.6066,4.6559
7,09:30,0.0,0.0
8,09:45,5.1226,4.8905
9,10:00,4.8905,5.3389
10,10:15,0.0,4.78
11,10:30,3.0004,2.9596
12,10:45,0.0,0.2481
13,11:00,4.9351,4.5117
14,11:15,4.7175,4.9351
15,11:30,4.8277,4.78
16,11:45,3.4832,4.3319
17,12:00,0.0,0.0
18,12:15,0.0,0.0
19,12:30,0.0,0.0
20,12:45,0.0,0.0
21,13:00,0.0,0.0
22,13:15,0.0,0.0
23,13:30,0.0,0.0
24,13:45,0.0,0.0
25,14:00,4.2907,4.7809
26,14:15,5.4411,4.486
27,14:30,4.6483,4.4919
28,14:45,4.7653,4.78
29,15:00,0.2481,1.3131
30,15:15,2.9366,2.5796
31,15:30,3.203,5.3659
32,15:45,0.0,1.3131
33,16:00,4.3319,0.2481
34,16:15,4.6066,4.4502
35,16:30,0.061,2.6102
36,16:45,5.8726,2.9596
37,17:00,0.0,0.0
38,17:15,0.0,0.0
39,17:30,0.0,0.0
40,17:45,0.0,0.0
41,18:00,0.0,0.0
42,18:15,0.0,0.0
43,18:30,0.0,0.0
44,18:45,0.0,0.0
45,19:00,0.0,0.0
46,19:15,0.0,0.0
47,19:30,0.0,0.0
48,19:45,0.0,0.0
49,20:00,0.0,0.0
50,20:15,0.0,0.0
51,20:30,0.0,0.0
52,20:45,0.0,0.0
53,21:00,0.0,0.0
54,21:15,0.0,0.0
55,21:30,0.0,0.0
56,21:45,0.0,0.0
57,22:00,0.0,0.0
58,22:15,0.0,0.0
59,22:30,0.0,0.0
60,22:45,0.0,0.0
61,23:00,0.0,0.0
62,23:15,0.0,0.0
63,23:30,0.0,0.0
64,23:45,0.0,0.0
65,00:00,0.0,0.0
66,00:15,0.0,0.0
67,00:30,0.0,0.0
68,00:45,0.0,0.0
69,01:00,0.0,0.0
70,01:15,0.0,0.0
71,01:30,0.0,0.0
72,01:45,0.0,0.0
73,02:00,0.0,0.0
74,02:15,0.0,0.0
75,02:30,0.0,0.0
76,02:45,0.0,0.0
77,03:00,0.0,0.0
78,03:15,0.0,0.0
79,03:30,0.0,0.0
80,03:45,0.0,0.0
81,04:00,0.0,0.0
82,04:15,0.0,0.0
83,04:30,0.0,0.0
84,04:45,0.0,0.0
85,05:00,0.0,0.0
86,05:15,0.0,0.0
87,05:30,0.0,0.0
88,05:45,0.0,0.0
89,06:00,0.0,0.0
90,06:15,0.0,0.0
91,06:30,0.0,0.0
92,06:45,0.0,0.0
93,07:00,0.0,0.0
94,07:15,0.0,0.0
95,07:30,0.0,0.0
96,07:45,0.0,0.0
