Metric,A0,A2S
Total_Cost_USD,180.19,175.58
Total_Energy_Cost_USD,45.05,43.19
Total_CO2_Cost_USD,1.8,1.72
NC_demand_charge_USD,53.34,50.66
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0
Travel_Labour_USD,80.0,80.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,141.69,135.1
Total_CO2_Emissions_kg,35.97,34.42
NCD_Peak_kW,2.65,2.52
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.0,0.0
MCS_Transit_hour,4.0,4.0
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,38.37,31513.73
