replan_at,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45
11:45,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Digging,Digging,Idle,Traveling,Loading/Swinging,Loading/Swinging,Idle,Loading/Swinging,Loading/Swinging,Idle,Idle,Idle,Idle,Idle
12:00,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Digging,Digging,Idle,Traveling,Loading/Swinging,Loading/Swinging,Loading/Swinging,Idle,Loading/Swinging,Idle,Idle,Idle,Idle,Idle
12:15,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Loading/Swinging,Digging,Digging,Idle,Traveling,Digging,Loading/Swinging,Loading/Swinging,Idle,Loading/Swinging,Idle,Idle,Idle,Idle,Idle
12:30,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Digging,Loading/Swinging,Idle,Traveling,Loading/Swinging,Loading/Swinging,Loading/Swinging,Idle,Idle,Idle,Idle,Idle,Idle,Idle
12:45,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Digging,Loading/Swinging,Idle,Traveling,Loading/Swinging,Loading/Swinging,Loading/Swinging,Idle,Idle,Idle,Idle,Idle,Idle,Idle
13:00,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Digging,Digging,Idle,Traveling,Loading/Swinging,Loading/Swinging,Loading/Swinging,Idle,Loading/Swinging,Traveling,Idle,Idle,Idle,Idle
13:15,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Idle,Digging,Idle,Idle,Loading/Swinging,Traveling,Loading/Swinging,Idle,Loading/Swinging,Loading/Swinging,Idle,Idle,Idle,Idle
13:30,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Loading/Swinging,Digging,Idle,Idle,Traveling,Idle,Loading/Swinging,Loading/Swinging,Loading/Swinging,Idle,Idle,Idle,Idle,Idle
13:45,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Loading/Swinging,Idle,Digging,Traveling,Digging,Loading/Swinging,Idle,Loading/Swinging,Loading/Swinging,Traveling,Idle,Idle,Idle,Idle
14:00,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Digging,Idle,Digging,Traveling,Loading/Swinging,Loading/Swinging,Idle,Loading/Swinging,Loading/Swinging,Idle,Idle,Idle,Idle
14:15,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Loading/Swinging,Digging,Idle,Digging,Traveling,Loading/Swinging,Idle,Loading/Swinging,Loading/Swinging,Loading/Swinging,Idle,Idle,Idle,Idle
14:30,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Digging,Digging,Idle,Traveling,Loading/Swinging,Loading/Swinging,Loading/Swinging,Idle,Loading/Swinging,Idle,Idle,Idle,Idle
14:45,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Loading/Swinging,Digging,Idle,Traveling,Digging,Loading/Swinging,Idle,Loading/Swinging,Loading/Swinging,Idle,Idle,Idle,Idle
15:00,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Loading/Swinging,Digging,Idle,Traveling,Digging,Loading/Swinging,Idle,Loading/Swinging,Loading/Swinging,Idle,Idle,Idle,Idle
15:15,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Loading/Swinging,Digging,Idle,Traveling,Loading/Swinging,Loading/Swinging,Loading/Swinging,Idle,Idle,Idle,Idle,Idle,Idle
15:30,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Loading/Swinging,Digging,Idle,Traveling,Idle,Loading/Swinging,Digging,Loading/Swinging,Loading/Swinging,Idle,Idle,Idle,Idle
15:45,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Loading/Swinging,Digging,Idle,Traveling,Loading/Swinging,Idle,Loading/Swinging,Loading/Swinging,Loading/Swinging,Idle,Idle,Idle,Idle
16:00,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Loading/Swinging,Digging,Idle,Traveling,Loading/Swinging,Loading/Swinging,Idle,Digging,Loading/Swinging,Idle,Idle,Idle,Idle
16:15,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Loading/Swinging,Digging,Idle,Traveling,Loading/Swinging,Loading/Swinging,Loading/Swinging,Idle,Digging,Idle,Idle,Idle,Idle
16:30,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Loading/Swinging,Digging,Idle,Traveling,Loading/Swinging,Loading/Swinging,Loading/Swinging,Idle,Idle,Idle,Idle,Idle,Idle
16:45,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Loading/Swinging,Digging,Idle,Traveling,Loading/Swinging,Loading/Swinging,Loading/Swinging,Idle,Digging,Idle,Idle,Idle,Idle
17:00,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Loading/Swinging,Digging,Idle,Traveling,Loading/Swinging,Loading/Swinging,Loading/Swinging,Idle,Digging,Idle,Idle,Idle,Idle
17:15,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Loading/Swinging,Digging,Idle,Traveling,Loading/Swinging,Loading/Swinging,Loading/Swinging,Idle,Digging,Idle,Idle,Idle,Idle
17:30,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Loading/Swinging,Digging,Idle,Traveling,Loading/Swinging,Loading/Swinging,Loading/Swinging,Idle,Digging,Idle,Idle,Idle,Idle
17:45,Digging,Idle,Digging,Idle,Loading/Swinging,Digging,Idle,Idle,Traveling,Digging,Digging,Idle,Digging,Idle,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Loading/Swinging,Digging,Idle,Traveling,Loading/Swinging,Loading/Swinging,Loading/Swinging,Idle,Digging,Idle,Idle,Idle,Idle
