Metric,A1S,A2S
Total_Cost_USD,568.81,68.49
Total_Energy_Cost_USD,7.81,8.03
Total_CO2_Cost_USD,0.32,0.33
NC_demand_charge_USD,40.69,40.13
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,500.0,0.0
Travel_Labour_USD,20.0,20.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,26.07,25.97
Total_CO2_Emissions_kg,6.31,6.54
NCD_Peak_kW,2.02,1.99
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.25,0.0
MCS_Transit_hour,1.0,1.0
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,104.61,10355.67
