Time_Period,CEV_1_A1S_kWh,CEV_1_A2S_kWh
1,14.8,14.8
2,13.604775,13.49755
3,12.540225,12.328225
4,11.354599999999959,11.1875
5,10.131974999999985,13.180950000059084
6,11.803699999999985,14.8
7,10.666049999999984,13.566225000000001
8,12.66605000000001,12.423200000000001
9,14.66605000000001,14.4166
10,13.471050000000009,13.666500000000001
11,12.276050000000009,12.593825
12,11.417025000000008,11.3986
13,10.231400000000008,10.038325
14,10.051700000000007,9.9726
15,8.524800000000008,8.936
16,7.329575000000008,7.741
17,6.088725000000008,6.380725
18,6.088725000000008,6.380725
19,6.088725000000008,6.380725
20,6.088725000000008,6.380725
21,6.088725000000008,6.380725
22,6.088725000000008,6.380725
23,6.088725000000008,6.380725
24,7.677093421052633,8.380725
25,9.593495083102495,10.380725
26,8.424170083102494,9.1855
27,7.872995083102494,8.044775
28,9.457664732468292,6.779999999999999
29,8.329739732468292,5.584999999999999
30,7.729339732468292,7.584999999999999
31,6.515739732468292,6.837424999999999
32,5.815739732468292,5.7544499999999985
33,7.4359610667121965,5.140574999999998
34,6.486161066712197,3.9469249999999985
35,5.137261066712197,5.9316749999999985
36,4.072711066712197,4.969499999999998
37,2.9897360667121964,4.110274999999998
38,3.4215928385940946,6.110274999999998
39,5.421592838594094,8.110274999999998
40,7.421592838594094,10.110274999999998
41,9.421592838594094,12.110274999999998
42,11.083074061126627,14.110274999999998
43,13.083074061126627,14.8
44,14.8,14.8
45,14.8,14.8
46,14.8,14.8
47,14.8,14.8
48,14.8,14.8
49,14.8,14.8
50,14.8,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
