Time_Period,CEV_1_A1S_kWh,CEV_1_A2S_kWh
1,14.8,14.8
2,13.75190909968863,13.75190909968863
3,14.8,12.678103174625416
4,13.726194074936787,11.64578706974946
5,12.69387797006083,10.56056721720436
6,11.608658117516011,12.56056721720436
7,13.608658117516011,11.59661454876985
8,12.644705449081501,10.504357492053508
9,13.708673397416295,9.442690365921825
10,12.616416340699953,8.34839472838941
11,11.554749214562609,10.34839472838941
12,10.460453577030194,12.348394728405637
13,12.460453577030194,14.348394728405637
14,11.377899743515053,13.265840894890497
15,10.417356855603238,12.305298006978681
16,9.337836351701535,11.225777503076978
17,8.664741089403012,10.143103771036943
18,9.541513626873524,10.143103771036943
19,11.541513626873524,10.143103771036943
20,13.390104545954024,10.143103771036943
21,13.390104545954024,10.143103771036943
22,13.390104545954024,10.143103771036943
23,13.390104545954024,10.143103771036943
24,13.390104545954024,10.143103771036943
25,13.390104545954024,10.143103771036943
26,12.697884128055641,9.071737566337807
27,11.615210396015605,8.398642304039285
28,13.293831031788653,7.486916345938045
29,12.382105073687413,6.794695928039662
30,11.310738868988278,8.794695928039662
31,10.618313604689225,8.10227066374061
32,9.548538622866221,7.032495681917605
33,10.809524283007043,6.3532185948297935
34,10.130247195919232,8.353218594829794
35,9.205795775039164,7.428767173949725
36,8.525653941992935,6.748625340903496
37,7.848075782441196,6.071047181351757
38,9.848075782441196,8.071047181351757
39,11.060627590397832,9.154155411507803
40,13.060627590397832,11.154155411507803
41,14.8,13.154155411507803
42,14.8,14.8
43,14.8,14.8
44,14.8,14.8
45,14.8,14.8
46,14.8,14.8
47,14.8,14.8
48,14.8,14.8
49,14.8,14.8
50,14.8,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
