Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh
1,D1 08:00,14.8,14.8,2.96
2,D1 08:15,13.608392954995773,14.8,2.96
3,D1 08:30,12.360757810746604,14.8,2.96
4,D1 08:45,11.200927339339788,14.8,2.96
5,D1 09:00,10.070705660764732,14.8,2.96
6,D1 09:15,12.070705660764732,14.8,2.96
7,D1 09:30,10.897484246490007,14.8,2.96
8,D1 09:45,9.812073969967042,14.8,2.96
9,D1 10:00,8.559947217917724,14.8,2.96
10,D1 10:15,7.716332667531864,14.8,2.96
11,D1 10:30,9.716332667531788,14.8,2.96
12,D1 10:45,8.475044648381528,14.8,2.96
13,D1 11:00,7.343512804621124,14.8,2.96
14,D1 11:15,6.148289026039781,14.8,2.96
15,D1 11:30,4.936585491386816,14.8,2.96
16,D1 11:45,4.936585491386816,14.8,2.96
17,D1 12:00,3.77033202344185,14.8,2.96
18,D1 12:15,5.77033202344185,14.8,2.96
19,D1 12:30,5.77033202344185,14.8,2.96
20,D1 12:45,5.77033202344185,14.8,2.96
21,D1 13:00,7.77033202344185,14.8,2.96
22,D1 13:15,8.800000000000002,14.8,2.96
23,D1 13:30,10.800000000000002,14.8,2.96
24,D1 13:45,12.800000000000002,14.8,2.96
25,D1 14:00,14.8,14.8,2.96
26,D1 14:15,13.581529810592983,14.8,2.96
27,D1 14:30,12.238527417535522,14.8,2.96
28,D1 14:45,10.932415822686547,14.8,2.96
29,D1 15:00,10.15059685542537,14.8,2.96
30,D1 15:15,12.15059685542537,14.8,2.96
31,D1 15:30,11.403754470331055,14.8,2.96
32,D1 15:45,10.570219911859915,14.8,2.96
33,D1 16:00,9.372750061329796,14.8,2.96
34,D1 16:15,10.477164044229976,14.8,2.96
35,D1 16:30,9.72987379122024,14.8,2.96
36,D1 16:45,11.72987379122024,14.8,2.96
37,D1 17:00,10.864496060534089,14.8,2.96
38,D1 17:15,12.864496060534089,14.8,2.96
39,D1 17:30,12.864496060534089,14.8,2.96
40,D1 17:45,14.8,14.8,2.96
41,D1 18:00,14.8,14.8,2.96
42,D1 18:15,14.8,14.8,2.96
43,D1 18:30,14.8,14.8,2.96
44,D1 18:45,14.8,14.8,2.96
45,D1 19:00,14.8,14.8,2.96
46,D1 19:15,14.8,14.8,2.96
47,D1 19:30,14.8,14.8,2.96
48,D1 19:45,14.8,14.8,2.96
49,D1 20:00,14.8,14.8,2.96
50,D1 20:15,14.8,14.8,2.96
51,D1 20:30,14.8,14.8,2.96
52,D1 20:45,14.8,14.8,2.96
53,D1 21:00,14.8,14.8,2.96
54,D1 21:15,14.8,14.8,2.96
55,D1 21:30,14.8,14.8,2.96
56,D1 21:45,14.8,14.8,2.96
57,D1 22:00,14.8,14.8,2.96
58,D1 22:15,14.8,14.8,2.96
59,D1 22:30,14.8,14.8,2.96
60,D1 22:45,14.8,14.8,2.96
61,D1 23:00,14.8,14.8,2.96
62,D1 23:15,14.8,14.8,2.96
63,D1 23:30,14.8,14.8,2.96
64,D1 23:45,14.8,14.8,2.96
65,D1 00:00,14.8,14.8,2.96
66,D1 00:15,14.8,14.8,2.96
67,D1 00:30,14.8,14.8,2.96
68,D1 00:45,14.8,14.8,2.96
69,D1 01:00,14.8,14.8,2.96
70,D1 01:15,14.8,14.8,2.96
71,D1 01:30,14.8,14.8,2.96
72,D1 01:45,14.8,14.8,2.96
73,D1 02:00,14.8,14.8,2.96
74,D1 02:15,14.8,14.8,2.96
75,D1 02:30,14.8,14.8,2.96
76,D1 02:45,14.8,14.8,2.96
77,D1 03:00,14.8,14.8,2.96
78,D1 03:15,14.8,14.8,2.96
79,D1 03:30,14.8,14.8,2.96
80,D1 03:45,14.8,14.8,2.96
81,D1 04:00,14.8,14.8,2.96
82,D1 04:15,14.8,14.8,2.96
83,D1 04:30,14.8,14.8,2.96
84,D1 04:45,14.8,14.8,2.96
85,D1 05:00,14.8,14.8,2.96
86,D1 05:15,14.8,14.8,2.96
87,D1 05:30,14.8,14.8,2.96
88,D1 05:45,14.8,14.8,2.96
89,D1 06:00,14.8,14.8,2.96
90,D1 06:15,14.8,14.8,2.96
91,D1 06:30,14.8,14.8,2.96
92,D1 06:45,14.8,14.8,2.96
93,D1 07:00,14.8,14.8,2.96
94,D1 07:15,14.8,14.8,2.96
95,D1 07:30,14.8,14.8,2.96
96,D1 07:45,14.8,14.8,2.96
97,D1 08:00,14.8,14.8,2.96
