Time_Period,CEV_1_A0_kWh,CEV_1_A2R_kWh
1,14.8,14.8
2,13.60891587539222,13.60891587539222
3,12.361419709596555,12.361419709596555
4,11.202329912883966,11.202329912883966
5,10.0730518082198,10.0730518082198
6,12.0730518082198,12.0730518082198
7,10.922536110531766,10.922536110531766
8,12.922536110531766,9.838376485564687
9,11.838376485564687,8.586357932473426
10,13.838376485564687,7.34525238651548
11,12.586357932473426,9.34525238651548
12,11.34525238651548,8.150526744057416
13,10.150526744057416,6.888316766480095
14,8.888316766480095,5.67699843765917
15,10.888316766480095,7.67699843765917
16,9.676998437659169,6.511441629747866
17,8.511441629747864,5.293310276536785
18,10.511441629747864,5.293310276536785
19,12.511441629747864,7.293310276536785
20,14.336941629748068,9.293310276536786
21,14.336941629748068,9.511004746222847
22,14.336941629748068,9.511004746222847
23,14.336941629748068,11.511004746222847
24,14.336941629748068,12.8
25,14.336941629748068,14.8
26,13.118810276536989,13.493626663923475
27,12.443927726341668,12.105794965262998
28,14.443927726341668,11.430912415067677
29,13.05609602768119,10.718554511844234
30,11.749722691604667,12.718554511844234
31,11.037364788381224,11.946634819925343
32,10.265445096462333,11.185110552930784
33,12.265445096462333,9.735326392594036
34,11.503920829467774,8.952847216276146
35,10.054136669131026,9.618522186083052
36,9.271657492813135,11.618522186083052
37,8.468186621169485,10.815051314439401
38,10.468186621169485,12.815051314439401
39,12.468186621169485,14.8
40,14.468186621169485,14.8
41,14.468186621169485,14.8
42,14.468186621169485,14.8
43,14.468186621169485,14.8
44,14.468186621169485,14.8
45,14.468186621169485,14.8
46,14.468186621169485,14.8
47,14.468186621169485,14.8
48,14.468186621169485,14.8
49,14.468186621169485,14.8
50,14.468186621169485,14.8
51,14.468186621169485,14.8
52,14.468186621169485,14.8
53,14.468186621169485,14.8
54,14.468186621169485,14.8
55,14.468186621169485,14.8
56,14.468186621169485,14.8
57,14.468186621169485,14.8
58,14.468186621169485,14.8
59,14.468186621169485,14.8
60,14.468186621169485,14.8
61,14.468186621169485,14.8
62,14.468186621169485,14.8
63,14.468186621169485,14.8
64,14.468186621169485,14.8
65,14.468186621169485,14.8
66,14.468186621169485,14.8
67,14.468186621169485,14.8
68,14.468186621169485,14.8
69,14.468186621169485,14.8
70,14.468186621169485,14.8
71,14.468186621169485,14.8
72,14.468186621169485,14.8
73,14.468186621169485,14.8
74,14.468186621169485,14.8
75,14.468186621169485,14.8
76,14.468186621169485,14.8
77,14.468186621169485,14.8
78,14.468186621169485,14.8
79,14.468186621169485,14.8
80,14.468186621169485,14.8
81,14.468186621169485,14.8
82,14.468186621169485,14.8
83,14.468186621169485,14.8
84,14.468186621169485,14.8
