Time_Period,CEV_1_A0_kWh,CEV_1_A1R_kWh,CEV_1_A2R_kWh
1,14.8,14.8,14.8
2,13.60891587539222,13.60891587539222,13.60891587539222
3,12.361419709596555,12.361419709596555,12.361419709596555
4,11.202329912883966,14.361419709596555,11.202329912883966
5,10.0730518082198,13.202329912883966,10.0730518082198
6,12.0730518082198,12.0730518082198,12.0730518082198
7,10.788577318099192,10.788577318099192,10.788577318099192
8,12.788577318099192,12.788577318099192,9.704417693132113
9,11.704417693132113,11.704417693132113,8.452399140040852
10,13.704417693132113,13.704417693132113,7.211293594082906
11,12.452399140040852,12.452399140040852,8.510014519756172
12,11.211293594082905,11.211293594082905,7.3152888772981095
13,10.016567951624843,11.211293594082905,6.192095502991752
14,8.893374577318486,10.016567951624843,4.980777174170827
15,10.893374577318486,8.893374577318486,3.8152203662595228
16,9.68205624849756,7.6820562484975605,5.815220366259522
17,8.516499440586255,6.516499440586257,4.597089013048442
18,10.516499440586255,8.516499440586257,6.597089013048443
19,12.516499440586255,8.516499440586257,6.907018110526538
20,14.34199944058646,8.516499440586257,7.886394871475587
21,14.34199944058646,10.516499440586257,9.886394871475588
22,14.34199944058646,10.516499440586257,9.886394871475588
23,14.34199944058646,12.2892,9.886394871475588
24,14.34199944058646,12.2892,11.886394871475588
25,14.34199944058646,14.2892,13.886394871475588
26,13.12386808737538,13.07106864678892,12.580021535399062
27,12.361621639371586,11.764695310712394,11.392524105948038
28,14.361621639371586,11.892949999999999,10.630277657944244
29,13.174124209920562,10.705452570548974,9.853081450725167
30,11.867750873844038,9.943206122545181,10.763478984735864
31,11.09055466662496,9.166009915326104,9.99049476230757
32,10.317570444196667,8.39302569289781,9.195984335432243
33,12.317570444196667,10.346475,8.0051327818162
34,11.52306001732134,9.551964573124673,7.112549120368514
35,10.3322084637053,8.361113019508633,9.112549120368513
36,9.439624802257613,7.4685293580609455,8.289181783120439
37,8.61625746500954,6.645162020812871,8.8
38,10.61625746500954,6.8,10.8
39,12.61625746500954,8.8,12.8
40,14.61625746500954,10.8,14.8
41,14.61625746500954,12.8,14.8
42,14.61625746500954,14.8,14.8
43,14.61625746500954,14.8,14.8
44,14.61625746500954,14.8,14.8
45,14.61625746500954,14.8,14.8
46,14.61625746500954,14.8,14.8
47,14.61625746500954,14.8,14.8
48,14.61625746500954,14.8,14.8
49,14.61625746500954,14.8,14.8
50,14.61625746500954,14.8,14.8
51,14.61625746500954,14.8,14.8
52,14.61625746500954,14.8,14.8
53,14.61625746500954,14.8,14.8
54,14.61625746500954,14.8,14.8
55,14.61625746500954,14.8,14.8
56,14.61625746500954,14.8,14.8
57,14.61625746500954,14.8,14.8
58,14.61625746500954,14.8,14.8
59,14.61625746500954,14.8,14.8
60,14.61625746500954,14.8,14.8
61,14.61625746500954,14.8,14.8
62,14.61625746500954,14.8,14.8
63,14.61625746500954,14.8,14.8
64,14.61625746500954,14.8,14.8
65,14.61625746500954,14.8,14.8
66,14.61625746500954,14.8,14.8
67,14.61625746500954,14.8,14.8
68,14.61625746500954,14.8,14.8
69,14.61625746500954,14.8,14.8
70,14.61625746500954,14.8,14.8
71,14.61625746500954,14.8,14.8
72,14.61625746500954,14.8,14.8
73,14.61625746500954,14.8,14.8
74,14.61625746500954,14.8,14.8
75,14.61625746500954,14.8,14.8
76,14.61625746500954,14.8,14.8
77,14.61625746500954,14.8,14.8
78,14.61625746500954,14.8,14.8
79,14.61625746500954,14.8,14.8
80,14.61625746500954,14.8,14.8
81,14.61625746500954,14.8,14.8
82,14.61625746500954,14.8,14.8
83,14.61625746500954,14.8,14.8
84,14.61625746500954,14.8,14.8
85,14.61625746500954,14.8,14.8
86,14.61625746500954,14.8,14.8
87,14.61625746500954,14.8,14.8
88,14.61625746500954,14.8,14.8
89,14.61625746500954,14.8,14.8
90,14.61625746500954,14.8,14.8
91,14.61625746500954,14.8,14.8
92,14.61625746500954,14.8,14.8
93,14.61625746500954,14.8,14.8
94,14.61625746500954,14.8,14.8
95,14.61625746500954,14.8,14.8
96,14.61625746500954,14.8,14.8
97,14.61625746500954,14.8,14.8
