Metric,A1S,A2S
Total_Cost_USD,67.56,67.71
Total_Energy_Cost_USD,8.45,7.96
Total_CO2_Cost_USD,0.31,0.32
NC_demand_charge_USD,38.8,39.43
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0
Travel_Labour_USD,20.0,20.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,26.38,26.25
Total_CO2_Emissions_kg,6.24,6.41
NCD_Peak_kW,1.93,1.96
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.0,0.0
MCS_Transit_hour,1.0,1.0
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,138.13,11435.2
