Time_Period,Time_Start_Label,Time_End_Label,MCS_1_Location,MCS_1_Location_Type
1,D1 08:00,D1 08:15,1,Grid
2,D1 08:15,D1 08:30,0,Travel
3,D1 08:30,D1 08:45,2,Construction
4,D1 08:45,D1 09:00,2,Construction
5,D1 09:00,D1 09:15,2,Construction
6,D1 09:15,D1 09:30,2,Construction
7,D1 09:30,D1 09:45,2,Construction
8,D1 09:45,D1 10:00,2,Construction
9,D1 10:00,D1 10:15,2,Construction
10,D1 10:15,D1 10:30,2,Construction
11,D1 10:30,D1 10:45,2,Construction
12,D1 10:45,D1 11:00,2,Construction
13,D1 11:00,D1 11:15,2,Construction
14,D1 11:15,D1 11:30,2,Construction
15,D1 11:30,D1 11:45,2,Construction
16,D1 11:45,D1 12:00,2,Construction
17,D1 12:00,D1 12:15,2,Construction
18,D1 12:15,D1 12:30,2,Construction
19,D1 12:30,D1 12:45,2,Construction
20,D1 12:45,D1 13:00,2,Construction
21,D1 13:00,D1 13:15,2,Construction
22,D1 13:15,D1 13:30,2,Construction
23,D1 13:30,D1 13:45,2,Construction
24,D1 13:45,D1 14:00,2,Construction
25,D1 14:00,D1 14:15,2,Construction
26,D1 14:15,D1 14:30,2,Construction
27,D1 14:30,D1 14:45,2,Construction
28,D1 14:45,D1 15:00,2,Construction
29,D1 15:00,D1 15:15,2,Construction
30,D1 15:15,D1 15:30,2,Construction
31,D1 15:30,D1 15:45,2,Construction
32,D1 15:45,D1 16:00,2,Construction
33,D1 16:00,D1 16:15,2,Construction
34,D1 16:15,D1 16:30,2,Construction
35,D1 16:30,D1 16:45,2,Construction
36,D1 16:45,D1 17:00,2,Construction
37,D1 17:00,D1 17:15,2,Construction
38,D1 17:15,D1 17:30,2,Construction
39,D1 17:30,D1 17:45,2,Construction
40,D1 17:45,D1 18:00,0,Travel
41,D1 18:00,D1 18:15,1,Grid
42,D1 18:15,D1 18:30,1,Grid
43,D1 18:30,D1 18:45,1,Grid
44,D1 18:45,D1 19:00,1,Grid
45,D1 19:00,D1 19:15,1,Grid
46,D1 19:15,D1 19:30,1,Grid
47,D1 19:30,D1 19:45,1,Grid
48,D1 19:45,D1 20:00,1,Grid
49,D1 20:00,D1 20:15,1,Grid
50,D1 20:15,D1 20:30,1,Grid
51,D1 20:30,D1 20:45,1,Grid
52,D1 20:45,D1 21:00,1,Grid
53,D1 21:00,D1 21:15,1,Grid
54,D1 21:15,D1 21:30,1,Grid
55,D1 21:30,D1 21:45,1,Grid
56,D1 21:45,D1 22:00,1,Grid
57,D1 22:00,D1 22:15,1,Grid
58,D1 22:15,D1 22:30,1,Grid
59,D1 22:30,D1 22:45,1,Grid
60,D1 22:45,D1 23:00,1,Grid
61,D1 23:00,D1 23:15,1,Grid
62,D1 23:15,D1 23:30,1,Grid
63,D1 23:30,D1 23:45,1,Grid
64,D1 23:45,D1 00:00,1,Grid
65,D1 00:00,D1 00:15,1,Grid
66,D1 00:15,D1 00:30,1,Grid
67,D1 00:30,D1 00:45,1,Grid
68,D1 00:45,D1 01:00,1,Grid
69,D1 01:00,D1 01:15,1,Grid
70,D1 01:15,D1 01:30,1,Grid
71,D1 01:30,D1 01:45,1,Grid
72,D1 01:45,D1 02:00,1,Grid
73,D1 02:00,D1 02:15,1,Grid
74,D1 02:15,D1 02:30,1,Grid
75,D1 02:30,D1 02:45,1,Grid
76,D1 02:45,D1 03:00,1,Grid
77,D1 03:00,D1 03:15,1,Grid
78,D1 03:15,D1 03:30,1,Grid
79,D1 03:30,D1 03:45,1,Grid
80,D1 03:45,D1 04:00,1,Grid
81,D1 04:00,D1 04:15,1,Grid
82,D1 04:15,D1 04:30,1,Grid
83,D1 04:30,D1 04:45,1,Grid
84,D1 04:45,D1 05:00,1,Grid
85,D1 05:00,D1 05:15,1,Grid
86,D1 05:15,D1 05:30,1,Grid
87,D1 05:30,D1 05:45,1,Grid
88,D1 05:45,D1 06:00,1,Grid
89,D1 06:00,D1 06:15,1,Grid
90,D1 06:15,D1 06:30,1,Grid
91,D1 06:30,D1 06:45,1,Grid
92,D1 06:45,D1 07:00,1,Grid
93,D1 07:00,D1 07:15,1,Grid
94,D1 07:15,D1 07:30,1,Grid
95,D1 07:30,D1 07:45,1,Grid
96,D1 07:45,D1 08:00,1,Grid
