Time_Period,MCS_1_A0_kWh,MCS_1_A1S_kWh,MCS_1_A2S_kWh
1,250.0,250.0,250.0
2,250.0,250.0,250.0
3,250.0,250.0,250.0
4,247.89473684210526,250.00000000000003,250.00000000000549
5,247.8947368421053,250.00000000000003,247.89473684211075
6,247.8947368421053,247.8947368421053,247.89473684211075
7,245.78947368421055,247.8947368421053,245.78947368421544
8,244.68975069252076,245.78947368421055,245.78947368421544
9,244.68975069252076,243.6860038970011,243.68600389700086
10,244.68975069252076,243.6860038970011,243.68600389700086
11,244.68975069252076,244.15192832510533,244.1122130794171
12,244.68975069252076,244.61785275320958,244.54254248792347
13,242.58448753462602,245.08377718131382,244.9758162709328
14,242.58448753462602,245.54970160941807,245.41027308497445
15,242.58448753462602,246.0156260375223,245.84793127972623
16,242.58448753462602,246.48155046562655,246.2866939459176
17,242.58448753462602,246.94747489373086,246.72748836995055
18,240.47922437673128,247.41339932183516,247.1682827939835
19,238.37396121883654,247.87932374993946,247.62017971366973
20,238.37396121883654,248.34524817804376,248.07207663335595
21,238.83710939398355,248.81117260614806,248.52397355304217
22,239.30025756913057,249.27709703425236,248.9758704727284
23,239.76340574427758,249.27709703425236,248.9758704727284
24,240.2265539194246,248.53585974260412,246.87060731483365
25,240.6897020945716,246.4696090737435,245.00095372745838
26,241.1528502697186,246.4696090737435,245.00095372745838
27,241.61599844486562,246.4696090737435,245.00095372745838
28,242.07914662001264,244.47662220673314,245.00095372745838
29,242.54229479515965,244.47662220673314,245.00095372745838
30,243.00544297030666,244.47662220673314,242.89569056956364
31,243.46859114545367,244.47662220673314,242.89569056956364
32,243.93173932060068,244.47662220673314,242.89569056956364
33,244.3948874957477,242.3713590488384,242.89569056956364
34,244.3948874957477,242.3713590488384,242.89569056956364
35,242.28962433785296,242.3713590488384,240.7904274116689
36,242.28962433785296,242.3713590488384,240.7904274116689
37,242.28962433785296,242.3713590488384,240.7904274116689
38,242.28962433785296,242.22389708331906,238.68516425377416
39,242.28962433785296,240.11863392542432,236.57990109587942
40,242.28962433785296,238.01337076752958,234.47463793798468
41,242.28962433785296,236.13747541391425,232.36937478008994
42,242.28962433785296,234.0322122560195,230.2641116221952
43,242.28962433785296,231.92694909812477,229.9124610936434
44,242.28962433785296,230.14202392283028,229.9124610936434
45,240.18436117995822,230.14202392283028,229.9124610936434
46,238.07909802206348,230.14202392283028,229.9124610936434
47,238.07909802206348,230.14202392283028,229.9124610936434
48,235.97383486416874,230.14202392283028,229.9124610936434
49,233.868571706274,230.14202392283028,229.9124610936434
50,233.83200660932107,230.14202392283028,229.9124610936434
51,231.72674345142633,230.14202392283028,229.9124610936434
52,229.6214802935316,230.14202392283028,229.9124610936434
53,229.6214802935316,230.14202392283028,229.9124610936434
54,230.0846284686786,230.60794835093458,230.36899606878788
55,230.5477766438256,231.07387277903888,230.82553104393236
56,231.01092481897263,231.53979720714318,231.28206601907684
57,231.47407299411964,232.00572163524748,231.73860099422131
58,231.93722116926665,232.47164606335178,232.1951359693658
59,232.40036934441366,232.93757049145609,232.65167094451027
60,232.86351751956067,233.4034949195604,233.10820591965475
61,233.32666569470769,233.8694193476647,233.56474089479923
62,233.7898138698547,234.15856944445406,234.0212758699437
63,234.2529620450017,234.62449387255836,234.4778108450882
64,234.71611022014872,235.09041830066263,234.93434582023266
65,235.17925839529573,235.09041830066263,235.39088079537703
66,235.64240657044274,235.55634272876694,235.8474157705215
67,236.10555474558976,236.02226715687124,236.303950745666
68,236.56870292073677,236.48819158497554,236.76048572081046
69,237.03185109588378,236.95411601307984,237.21702069595494
70,237.4949992710308,237.42004044118414,237.67355567109942
71,237.9581474461778,237.88596486928844,238.1300906462439
72,238.42129562132482,238.35188929739274,238.58662562138838
73,238.88444379647183,238.81781372549705,239.04316059653286
74,239.34759197161884,239.28373815360135,239.49969557167734
75,239.81074014676585,239.74966258170565,239.9562305468218
76,240.27388832191286,240.21558700980995,240.4127655219663
77,240.73703649705988,240.68151143791425,240.86930049711077
78,241.2001846722069,241.14743586601855,241.32583547225525
79,241.6633328473539,241.61336029412286,241.78237044739973
80,242.1264810225009,242.07928472222716,242.2389054225442
81,242.58962919764792,242.54520915033146,242.69544039768869
82,243.05277737279494,243.01113357843576,243.15197537283316
83,243.51592554794195,243.47705800654006,243.60851034797764
84,243.97907372308896,243.94298243464436,244.06504532312212
85,244.44222189823597,244.40890686274867,244.5215802982666
86,244.90537007338298,244.87483129085297,244.97811527341108
87,245.36851824853,245.34075571895727,245.43465024855556
88,245.831666423677,245.80668014706157,245.89118522370003
89,246.29481459882402,246.27260457516587,246.3477201988445
90,246.75796277397103,246.73852900326995,246.80425517398874
91,247.22111094911804,247.20445343137425,247.2607901491332
92,247.68425912426505,247.6703778594785,247.71732512427766
93,248.14740729941207,248.1363022875828,248.17386009942211
94,248.61055547455908,248.6022267156871,248.63039507456656
95,249.0737036497061,249.0681511437914,249.08693004971104
96,249.536851824853,249.5340755718957,249.54346502485552
97,250.0,250.0,250.0
