Time_Period,CEV_1_A0_kWh,CEV_1_A1S_kWh
1,14.8,14.8
2,13.604775,13.49755
3,12.38215,12.4469
4,14.38215,11.396249999999426
5,13.317599999999999,10.11560000000259
6,12.194624999999998,12.11560000000259
7,11.073125,12.97602105263141
8,12.74485,11.64192105263141
9,14.627624999999993,13.515446052631411
10,13.393849999999993,12.301846052631412
11,12.343199999999992,11.649296052631412
12,11.102349999999992,10.508571052631412
13,13.036624999999992,12.508571052631412
14,11.734174999999992,11.267721052631412
15,10.579924999999992,9.933621052631413
16,9.346149999999993,8.983821052631413
17,8.223174999999992,7.788596052631413
18,10.223174999999992,9.788596052631412
19,12.223174999999992,11.786758102493083
20,12.223174999999992,11.786758102493083
21,12.223174999999992,11.786758102493083
22,12.223174999999992,11.786758102493083
23,12.223174999999992,11.786758102493083
24,12.223174999999992,11.786758102493083
25,12.223174999999992,11.786758102493083
26,11.027099999999992,10.573158102493084
27,9.835774999999991,9.381833102493083
28,8.501674999999992,8.238808102493083
29,7.718074999999992,7.276633102493083
30,7.6008499999999914,7.276633102493083
31,7.000449999999992,6.0816331024930825
32,6.216849999999992,5.341733102493082
33,5.416099999999992,4.591633102493082
34,4.236724999999992,3.437383102493082
35,6.236724999999992,5.437383102493082
36,5.453124999999992,4.242383102493082
37,4.753124999999992,3.383158102493082
38,6.202977990430627,3.4008864156582588
39,6.202977990430627,5.399953346544303
40,6.202977990430627,7.294739297550301
41,8.202977990430627,9.2947392975503
42,10.202977990430627,11.2947392975503
43,12.202977990430627,12.984487405392091
44,14.202977990430627,14.8
45,14.8,14.8
46,14.8,14.8
47,14.8,14.8
48,14.8,14.8
49,14.8,14.8
50,14.8,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
