Time_Period,Clock,A0_Charging_kW,A0_Discharging_kW,A1S_Charging_kW,A1S_Discharging_kW
1,08:00,0.0,0.0,0.0,0.0
2,08:15,0.0,0.0,0.0,4.516526315789478
3,08:30,0.0,8.0,0.0,0.0
4,08:45,-0.0,0.0,0.0,0.0
5,09:00,-0.0,0.0,0.0,7.999999999999359
6,09:15,-0.0,0.0,0.0,0.0
7,09:30,-0.0,8.0,0.0,0.0
8,09:45,-0.0,7.999999999999972,0.0,8.000000000000107
9,10:00,-0.0,0.0,0.0,0.0
10,10:15,-0.0,0.0,1.2420837777661808,0.0
11,10:30,-0.0,0.0,1.9488500492835843,0.0
12,10:45,-0.0,8.0,1.9628324744982988,0.0
13,11:00,-0.0,0.0,1.9673626869596985,0.0
14,11:15,-0.0,0.0,1.8403253504629191,0.0
15,11:30,-0.0,0.0,1.9673626869596985,0.0
16,11:45,-0.0,0.0,1.9791481314321202,0.0
17,12:00,-0.0,8.0,1.9807889749158014,0.0
18,12:15,-0.0,8.0,1.9018720906629338,0.0
19,12:30,-0.0,0.0,1.9807889749158014,0.0
20,12:45,1.9788970590799921,0.0,1.9807889749157426,0.0
21,13:00,1.9788970590799921,0.0,1.9807889749157719,0.0
22,13:15,1.9788970590799921,0.0,0.0,0.0
23,13:30,1.9788970590799921,0.0,0.0,6.657130193906384
24,13:45,1.9788970590799921,0.0,0.0,7.6496247266365085
25,14:00,1.9788970590799921,0.0,0.0,0.0
26,14:15,1.9788970590799921,0.0,0.0,0.0
27,14:30,1.9788970590799921,0.0,0.0,7.126546067019132
28,14:45,1.9788970590799921,0.0,0.0,0.0
29,15:00,1.9788970590799921,0.0,0.0,0.0
30,15:15,1.9788970590799921,0.0,0.0,0.0
31,15:30,1.9788970590799921,0.0,0.0,0.0
32,15:45,1.9788970590799921,0.0,0.0,8.0
33,16:00,-0.0,0.0,0.0,0.0
34,16:15,-0.0,8.0,0.0,0.0
35,16:30,-0.0,0.0,0.0,0.0
36,16:45,-0.0,0.0,0.0,0.0
37,17:00,-0.0,5.799411961722543,0.0,1.6323923122621484
38,17:15,-0.0,0.0,0.0,8.0
39,17:30,-0.0,0.0,0.0,7.493031983565146
40,17:45,-0.0,8.0,0.0,7.605629895601838
41,18:00,-0.0,8.0,0.0,7.599703689705164
42,18:15,-0.0,8.0,0.0,8.0
43,18:30,-0.0,8.0,0.0,7.1789629636997265
44,18:45,-0.0,8.0,0.0,0.0
45,19:00,-0.0,0.0,0.0,0.0
46,19:15,-0.0,0.0,0.0,0.0
47,19:30,-0.0,0.0,0.0,0.0
48,19:45,-0.0,0.0,0.0,0.0
49,20:00,-0.0,0.0,-0.0,0.0
50,20:15,-0.0,0.0,-0.0,0.0
51,20:30,-0.0,0.0,-0.0,0.0
52,20:45,-0.0,0.0,0.0,0.0
53,21:00,1.9788970590799921,0.0,1.9807889749158014,0.0
54,21:15,1.9788970590799921,0.0,1.9807889749158014,0.0
55,21:30,1.9788970590799921,0.0,1.9807889749158014,0.0
56,21:45,1.9788970590799921,0.0,1.9807889749158014,0.0
57,22:00,1.9788970590799921,0.0,1.9807889749158014,0.0
58,22:15,1.9788970590799921,0.0,1.9807889749158014,0.0
59,22:30,1.9788970590799921,0.0,1.9807889749158014,0.0
60,22:45,1.9788970590799921,0.0,1.9807889749158014,0.0
61,23:00,1.9788970590799921,0.0,1.9807889749158014,0.0
62,23:15,1.9788970590799921,0.0,1.9807889749158014,0.0
63,23:30,1.9788970590799921,0.0,1.9807889749158014,0.0
64,23:45,1.9788970590799921,0.0,0.08149993169115075,0.0
65,00:00,1.9788970590799921,0.0,1.9807889749158014,0.0
66,00:15,1.9788970590799921,0.0,1.9807889749158014,0.0
67,00:30,1.9788970590799921,0.0,1.9807889749158014,0.0
68,00:45,1.9788970590799921,0.0,1.9807889749158014,0.0
69,01:00,1.9788970590799921,0.0,1.9807889749158014,0.0
70,01:15,1.9788970590799921,0.0,1.9807889749158014,0.0
71,01:30,1.9788970590799921,0.0,1.9807889749158014,0.0
72,01:45,1.9788970590799921,0.0,1.9807889749158014,0.0
73,02:00,1.9788970590799921,0.0,1.9807889749158014,0.0
74,02:15,1.9788970590799921,0.0,1.9807889749158014,0.0
75,02:30,1.9788970590799921,0.0,1.9807889749158014,0.0
76,02:45,1.9788970590799921,0.0,1.9807889749158014,0.0
77,03:00,1.9788970590799921,0.0,1.9807889749158014,0.0
78,03:15,1.9788970590799921,0.0,1.9807889749158014,0.0
79,03:30,1.9788970590799921,0.0,1.9807889749158014,0.0
80,03:45,1.9788970590799921,0.0,1.9807889749158014,0.0
81,04:00,1.9788970590799921,0.0,1.9807889749158014,0.0
82,04:15,1.9788970590799921,0.0,1.9807889749158014,0.0
83,04:30,1.9788970590799921,0.0,1.9807889749158014,0.0
84,04:45,1.9788970590799921,0.0,1.9807889749158014,0.0
85,05:00,1.9788970590799921,0.0,1.9807889749158014,0.0
86,05:15,1.9788970590799921,0.0,1.9807889749158014,0.0
87,05:30,1.9788970590799921,0.0,1.9807889749158014,0.0
88,05:45,1.9788970590799921,0.0,1.9807889749158014,0.0
89,06:00,1.9788970590799921,0.0,1.9807889749165208,0.0
90,06:15,1.9788970590799921,0.0,1.98078897491152,0.0
91,06:30,1.9788970590799921,0.0,1.980788974916576,0.0
92,06:45,1.9788970590799921,0.0,1.9807889749162655,0.0
93,07:00,1.9788970590799921,0.0,1.980788974916591,0.0
94,07:15,1.9788970590799921,0.0,1.9807889749165268,0.0
95,07:30,1.9788970590799921,0.0,1.9807889749166283,0.0
96,07:45,1.9788970590800665,0.0,1.9807889749166097,0.0
