Time_Period,Clock,approach0_Charging_kW,approach0_Discharging_kW,shrinking_Charging_kW,shrinking_Discharging_kW,receding_Charging_kW,receding_Discharging_kW
1,08:00,-0.0,0.0,-0.0,0.0,-0.0,0.0
2,08:15,-0.0,0.0,0.0,0.0,0.0,0.0
3,08:30,-0.0,0.0,0.0,0.0,0.0,0.0
4,08:45,-0.0,8.0,0.0,0.0,0.0,0.0
5,09:00,-0.0,0.0,0.0,8.0,0.0,4.633342093519834
6,09:15,-0.0,0.0,0.0,0.0,0.0,0.0
7,09:30,-0.0,0.0,0.0,0.0,0.0,0.0
8,09:45,-0.0,8.0,0.0,0.0,0.0,8.0
9,10:00,-0.0,0.0,0.0,0.0,0.0,0.0
10,10:15,-0.0,0.0,0.0,8.0,0.0,0.0
11,10:30,-0.0,0.0,0.0,0.0,0.0,0.0
12,10:45,-0.0,8.0,0.0,0.0,0.0,0.0
13,11:00,-0.0,0.0,0.0,0.0,0.0,2.92330223646546
14,11:15,-0.0,0.0,0.0,0.0,0.0,0.0
15,11:30,-0.0,0.0,0.0,0.0,0.0,0.0
16,11:45,-0.0,0.0,0.0,0.0,0.0,0.0
17,12:00,-0.0,8.0,0.0,3.990764590433429,0.0,8.0
18,12:15,-0.0,8.0,0.0,0.0,0.0,6.435775407685867
19,12:30,-0.0,8.0,0.0,8.0,0.0,0.0
20,12:45,-0.0,8.0,0.0,7.758399668344921,0.0,8.0
21,13:00,-0.0,4.494599999999998,0.0,0.0,0.0,0.0
22,13:15,-0.0,0.0,0.0,5.505919409835691,0.0,8.0
23,13:30,-0.0,0.0,0.0,8.0,0.0,8.0
24,13:45,-0.0,0.0,0.0,8.0,0.0,8.0
25,14:00,-0.0,0.0,0.0,0.0,0.0,0.0
26,14:15,-0.0,0.0,0.0,0.0,0.0,0.0
27,14:30,-0.0,0.0,0.0,0.0,0.0,0.0
28,14:45,-0.0,0.0,0.0,0.0,0.0,0.0
29,15:00,-0.0,8.0,0.0,8.0,0.0,1.3836523147235837
30,15:15,-0.0,0.0,0.0,0.0,0.0,0.0
31,15:30,-0.0,0.0,0.0,0.0,0.0,0.0
32,15:45,-0.0,0.0,0.0,0.0,0.0,0.0
33,16:00,-0.0,0.0,0.0,0.0,0.0,8.0
34,16:15,-0.0,8.0,0.0,8.0,0.0,7.937645546484347
35,16:30,-0.0,8.0,0.0,8.0,0.0,0.0
36,16:45,-0.0,0.0,0.0,0.0,0.0,0.0
37,17:00,-0.0,8.0,0.0,8.0,0.0,8.0
38,17:15,-0.0,2.802599999999991,0.0,6.767161960104751,0.0,8.0
39,17:30,-0.0,0.0,0.0,0.0,0.0,0.7085280298396981
40,17:45,-0.0,0.0,-0.0,0.0,0.0,0.0
41,18:00,-0.0,0.0,-0.0,0.0,-0.0,0.0
42,18:15,-0.0,0.0,-0.0,0.0,-0.0,0.0
43,18:30,-0.0,0.0,-0.0,0.0,-0.0,0.0
44,18:45,-0.0,0.0,-0.0,0.0,-0.0,0.0
45,19:00,-0.0,0.0,-0.0,0.0,-0.0,0.0
46,19:15,-0.0,0.0,-0.0,0.0,-0.0,0.0
47,19:30,-0.0,0.0,-0.0,0.0,-0.0,0.0
48,19:45,-0.0,0.0,-0.0,0.0,-0.0,0.0
49,20:00,-0.0,0.0,-0.0,0.0,-0.0,0.0
50,20:15,-0.0,0.0,-0.0,0.0,-0.0,0.0
51,20:30,-0.0,0.0,-0.0,0.0,-0.0,0.0
52,20:45,-0.0,0.0,0.0,0.0,0.0,0.0
53,21:00,2.878297658020646,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
54,21:15,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
55,21:30,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
56,21:45,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
57,22:00,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
58,22:15,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
59,22:30,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
60,22:45,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
61,23:00,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
62,23:15,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
63,23:30,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
64,23:45,2.878297658020648,0.0,2.8965561729695297,0.0,2.89655617297143,0.0
65,00:00,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
66,00:15,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
67,00:30,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
68,00:45,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
69,01:00,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
70,01:15,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
71,01:30,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
72,01:45,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
73,02:00,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
74,02:15,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
75,02:30,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
76,02:45,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
77,03:00,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
78,03:15,2.878297658020648,0.0,2.896556172972009,0.0,2.8965561729720095,0.0
