Metric,A0,A1S,A2S
Total_Cost_USD,69.02,67.08,79.33
Total_Energy_Cost_USD,8.51,8.51,8.17
Total_CO2_Cost_USD,0.34,0.31,0.33
NC_demand_charge_USD,40.17,38.26,40.83
OP_demand_charge_USD,-0.0,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0,0.0
Travel_Labour_USD,20.0,20.0,30.0
Terminal_Shortfall_Penalty_USD,0.0,0.0,0.0
Total_Grid_Energy_kWh,27.79,26.47,26.41
Total_CO2_Emissions_kg,6.84,6.29,6.65
NCD_Peak_kW,2.0,1.9,2.03
OPD_Peak_kW,-0.0,0.0,0.0
Missed_Work_hour,0.0,0.0,0.0
MCS_Transit_hour,1.0,1.0,1.5
Terminal_SOE_Shortfall_kWh,0.0,0.0,0.0
Infeasible_windows,0,0,0
Solve_time_s,47.98,202.36,14766.21
