Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A2S_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.78,Digging,Traveling,0.0,0.0,4.78,Digging,Idle,0.0
2,08:15,0.0,0.0,5.3659,Digging,Idle,0.0,0.0,5.3389,Digging,Traveling,0.0
3,08:30,8.0,2.0,0.0,Charging,Serving CEV,0.0,0.0,4.78,Digging,Idle,-2.0
4,08:45,0.0,2.0,4.9351,Digging,Idle,8.0,2.0,0.0,Charging,Serving CEV,0.0
5,09:00,0.0,2.0,4.6773,Digging,Idle,0.0,2.0,5.3389,Digging,Idle,0.0
6,09:15,0.0,2.0,4.6066,Traveling,Idle,8.00000000000046,4.0000000000001155,0.061,Charging,Serving CEV,2.0000000000001155
7,09:30,8.0,4.0,0.0,Charging,Serving CEV,0.0,4.0000000000001155,4.7095,Traveling,Idle,1.1546319456101628e-13
8,09:45,7.999999999999972,5.999999999999993,0.1325,Charging,Serving CEV,8.0,6.0000000000001155,0.0,Charging,Serving CEV,1.2256862191861728e-13
9,10:00,0.0,5.999999999999993,4.2582,Digging,Idle,0.0,6.0000000000001155,4.78,Digging,Idle,1.2256862191861728e-13
10,10:15,0.0,5.999999999999993,4.8544,Digging,Idle,0.0,6.0000000000001155,3.4832,Digging,Idle,1.2256862191861728e-13
11,10:30,0.0,5.999999999999993,5.1226,Digging,Idle,0.0,6.0000000000001155,5.1226,Digging,Idle,1.2256862191861728e-13
12,10:45,8.0,7.999999999999993,0.4879,Charging,Serving CEV,7.999999999999993,8.000000000000114,0.0,Charging,Serving CEV,1.2079226507921703e-13
13,11:00,0.0,7.999999999999993,4.8544,Digging,Idle,0.0,8.000000000000114,5.1226,Digging,Traveling,1.2079226507921703e-13
14,11:15,0.0,7.999999999999993,5.3364,Traveling,Idle,0.0,8.000000000000114,4.6176,Traveling,Charging (grid),1.2079226507921703e-13
15,11:30,0.0,7.999999999999993,5.1226,Digging,Idle,0.0,8.000000000000114,5.1226,Digging,Charging (grid),1.2079226507921703e-13
16,11:45,0.0,7.999999999999993,3.4832,Digging,Idle,0.0,8.000000000000114,4.2026,Digging,Charging (grid),1.2079226507921703e-13
17,12:00,8.0,9.999999999999993,0.0,Charging,Serving CEV,0.0,8.000000000000114,0.0,,Charging (grid),-1.9999999999998792
18,12:15,8.0,11.999999999999993,0.0,Charging,Serving CEV,0.0,8.000000000000114,0.0,,Charging (grid),-3.999999999999879
19,12:30,0.0,11.999999999999993,0.0,,Traveling,0.0,8.000000000000114,0.0,,Charging (grid),-3.999999999999879
20,12:45,0.0,11.999999999999993,0.0,,Charging (grid),0.0,8.000000000000114,0.0,,Charging (grid),-3.999999999999879
21,13:00,0.0,11.999999999999993,0.0,,Charging (grid),0.0,8.000000000000114,0.0,,Charging (grid),-3.999999999999879
22,13:15,0.0,11.999999999999993,0.0,,Charging (grid),0.0,8.000000000000114,0.0,,Charging (grid),-3.999999999999879
23,13:30,0.0,11.999999999999993,0.0,,Charging (grid),0.0,8.000000000000114,0.0,,Traveling,-3.999999999999879
24,13:45,0.0,11.999999999999993,0.0,,Charging (grid),8.0,10.000000000000114,0.0,Charging,Serving CEV,-1.9999999999998792
25,14:00,0.0,11.999999999999993,4.8905,Digging,Charging (grid),0.0,10.000000000000114,5.2098,Digging,Idle,-1.9999999999998792
26,14:15,0.0,11.999999999999993,3.4832,Digging,Charging (grid),0.0,10.000000000000114,4.78,Digging,Idle,-1.9999999999998792
27,14:30,0.0,11.999999999999993,5.3956,Traveling,Charging (grid),0.0,10.000000000000114,4.5721,Traveling,Idle,-1.9999999999998792
