Time_Period,CEV_1_A0_kWh,CEV_1_A2S_kWh
1,14.8,14.8
2,13.75190909968863,13.75190909968863
3,12.678103174625416,12.678103174625416
4,14.678103174625416,11.64578706974946
5,13.64578706974946,10.56056721720436
6,12.56056721720436,12.56056721720436
7,14.56056721720436,11.59661454876985
8,14.8,10.504357492053508
9,13.83604733156549,9.442690365921825
10,13.162952069266968,8.34839472838941
11,12.070695012550626,10.34839472838941
12,11.009027886413282,12.348394728405637
13,13.009027886413282,14.348394728405637
14,11.914732248880867,13.265840894890497
15,10.954189360969051,12.305298006978681
16,9.871635527453911,11.225777503076978
17,8.792115023552208,10.143103771036943
18,10.792115023552208,10.143103771036943
19,12.792115023552208,10.143103771036943
20,12.792115023552208,10.143103771036943
21,12.792115023552208,10.143103771036943
22,12.792115023552208,10.143103771036943
23,12.792115023552208,10.143103771036943
24,12.792115023552208,10.143103771036943
25,12.792115023552208,10.143103771036943
26,11.709441291512173,9.071737566337807
27,10.638075086813037,8.398642304039285
28,9.726349128711798,7.486916345938045
29,8.656574146888794,6.794695928039662
30,8.656574146888794,8.794695928039662
31,7.96435372899041,8.10227066374061
32,7.271928464691358,7.032495681917605
33,6.592651377603547,6.3532185948297935
34,5.668199956723478,8.353218594829794
35,7.668199956723471,7.428767173949725
36,6.988058123677241,6.748625340903496
37,6.310479964125502,6.071047181351757
38,6.310479964125502,8.071047181351757
39,6.310479964125502,9.154155411507803
40,6.310479964125502,11.154155411507803
41,6.310479964125502,13.154155411507803
42,6.310479964125502,14.8
43,6.310479964125502,14.8
44,6.310479964125502,14.8
45,8.310479964125502,14.8
46,10.310479964125502,14.8
47,10.310479964125502,14.8
48,12.310479964125502,14.8
49,14.310479964125502,14.8
50,14.345216806230786,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
