Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A1S_minus_A0_cum_kWh
1,08:00,0.0,0.0,5.041839770771916,Digging,Traveling,0.0,0.0,5.041839770771916,Digging,Traveling,0.0
2,08:15,0.0,0.0,5.141680237812048,Digging,Idle,4.580357653441588,1.145089413360397,0.0,Charging,Serving CEV,1.145089413360397
3,08:30,7.999999999999999,1.9999999999999998,0.0,Charging,Serving CEV,1.911920913986059e-13,1.1450894133604448,5.141680237812048,Digging,Idle,-0.854910586639555
4,08:45,0.0,1.9999999999999998,4.941799685323024,Digging,Idle,0.0,1.1450894133604448,4.941799685323024,Digging,Idle,-0.854910586639555
5,09:00,0.0,1.9999999999999998,4.900995245099925,Digging,Idle,7.781328463643183,3.0904215292712403,0.0,Charging,Serving CEV,1.0904215292712405
6,09:15,8.0,4.0,0.0,Charging,Serving CEV,0.0,3.0904215292712403,4.900995245099925,Digging,Idle,-0.9095784707287597
7,09:30,4.178947368421149,5.044736842105287,0.0,Charging,Serving CEV,6.354346128338896,4.679008061355964,0.0,Charging,Serving CEV,-0.3657287807493228
8,09:45,0.0,5.044736842105287,4.755021108027313,Traveling,Idle,0.0,4.679008061355964,4.755021108027313,Traveling,Idle,-0.3657287807493228
9,10:00,0.0,5.044736842105287,3.0642269057707443,Loading/Swinging,Idle,0.0,4.679008061355964,4.642880597441433,Digging,Idle,-0.3657287807493228
10,10:15,0.0,5.044736842105287,4.642880597441433,Digging,Idle,0.0,4.679008061355964,4.6685519687221,Digging,Idle,-0.3657287807493228
11,10:30,0.0,5.044736842105287,4.6685519687221,Digging,Idle,0.0,4.679008061355964,4.783547634963451,Digging,Idle,-0.3657287807493228
12,10:45,8.0,7.044736842105287,0.0,Charging,Serving CEV,8.0,6.679008061355964,0.0,Charging,Serving CEV,-0.3657287807493228
13,11:00,0.0,7.044736842105287,4.783547634963451,Digging,Idle,0.0,6.679008061355964,3.0642269057707443,Loading/Swinging,Idle,-0.3657287807493228
14,11:15,0.0,7.044736842105287,4.245131084810789,Traveling,Idle,0.0,6.679008061355964,4.245131084810789,Traveling,Idle,-0.3657287807493228
15,11:30,0.0,7.044736842105287,4.968817269427966,Digging,Idle,1.4210854715203412e-13,6.679008061356,4.968817269427966,Digging,Idle,-0.3657287807492873
16,11:45,0.0,7.044736842105287,4.7630522343219885,Digging,Idle,0.0,6.679008061356,4.7630522343219885,Digging,Idle,-0.3657287807492873
17,12:00,8.0,9.044736842105287,0.0,Charging,Serving CEV,7.910538417968028,8.656642665848008,0.0,Charging,Serving CEV,-0.3880941762572796
18,12:15,8.0,11.044736842105287,0.0,Charging,Serving CEV,7.5836558727375545,10.552556634032396,0.0,Charging,Serving CEV,-0.49218020807289165
19,12:30,0.0,11.044736842105287,0.0,,Traveling,0.0,10.552556634032396,0.0,,Traveling,-0.49218020807289165
20,12:45,0.0,11.044736842105287,0.0,,Charging (grid),0.0,10.552556634032396,0.0,,Charging (grid),-0.49218020807289165
