Time_Period,MCS_1_A0_kWh,MCS_1_A1S_kWh,MCS_1_A2S_kWh
1,250.0,250.0,250.0
2,250.0,250.0,250.0
3,250.0,248.73499413388652,250.0
4,247.89473684210526,248.73499413388652,250.00000000000023
5,247.8947368421053,248.73499413388652,247.8947368421055
6,247.8947368421053,246.62973097599186,247.8947368421055
7,245.78947368421055,246.62973097599186,245.78947368421075
8,244.68975069252076,244.52446781809775,245.78947368421075
9,244.68975069252076,244.52446781809775,243.684210526316
10,244.68975069252076,244.52446781809775,243.684210526316
11,244.68975069252076,244.52446781809775,243.684210526316
12,244.68975069252076,244.52446781809775,243.684210526316
13,242.58448753462602,242.419204660203,243.68421052631595
14,242.58448753462602,242.419204660203,241.5789473684212
15,242.58448753462602,242.419204660203,241.5789473684212
16,242.58448753462602,242.419204660203,241.5789473684212
17,242.58448753462602,242.419204660203,241.5789473684212
18,240.47922437673128,240.31394150230824,239.47368421052647
19,238.37396121883654,239.09873278789044,237.36842105263173
20,238.37396121883654,236.9934696299957,237.36842105263173
21,238.83710939398355,236.9934696299957,237.8349290755069
22,239.30025756913057,237.48576625138458,238.3019836956446
23,239.76340574427758,237.97806287277345,238.7839627109163
24,240.2265539194246,238.47035949416232,239.26594172618803
25,240.6897020945716,238.9626561155512,239.74792074145975
26,241.1528502697186,239.45495273694007,240.22989975673147
27,241.61599844486562,239.94929105469086,240.7118787720032
28,242.07914662001264,240.445704423718,241.1938577872749
29,242.54229479515965,240.94670218248203,241.1938577872749
30,243.00544297030666,241.45030599691884,239.08859462938017
31,243.46859114545367,241.95390981135566,239.08859462938017
32,243.93173932060068,242.45751362579247,239.08859462938017
33,244.3948874957477,242.45751362579247,236.98333147148543
34,244.3948874957477,240.44774511358224,236.98333147148543
35,242.28962433785296,238.44825924580383,236.98333147148543
36,242.28962433785296,238.44825924580383,236.98333147148543
37,242.28962433785296,238.44825924580383,236.98333147148543
38,242.28962433785296,236.34299608790909,234.8780683135907
39,242.28962433785296,234.23773293001435,232.77280515569595
40,242.28962433785296,234.23126682748634,230.6675419978012
41,242.28962433785296,232.1263439907773,228.56227883990647
42,242.28962433785296,230.02108083288255,226.45701568201173
43,242.28962433785296,228.1374064115459,225.61820454842476
44,242.28962433785296,228.1374064115459,225.61820454842476
45,240.18436117995822,228.1374064115459,225.61820454842476
46,238.07909802206348,228.1374064115459,225.61820454842476
47,238.07909802206348,228.1374064115459,225.61820454842476
48,235.97383486416874,228.1374064115459,225.61820454842476
49,233.868571706274,228.1374064115459,225.61820454842476
50,233.83200660932107,228.1374064115459,225.61820454842476
51,231.72674345142633,228.1374064115459,225.61820454842476
52,229.6214802935316,228.1374064115459,225.61820454842476
53,229.6214802935316,228.1374064115459,225.61820454842476
54,230.0846284686786,228.6410102259827,226.1723362632333
55,230.5477766438256,229.14461404041953,226.72646797804182
56,231.01092481897263,229.64821785485634,227.28059969285036
57,231.47407299411964,230.15182166929316,227.8347314076589
58,231.93722116926665,230.65542548372997,228.38886312246743
59,232.40036934441366,231.1590292981668,228.94299483727596
60,232.86351751956067,231.6626331126036,229.4971265520845
61,233.32666569470769,232.16623692704042,230.05125826689303
62,233.7898138698547,232.66984074147723,230.60538998170156
63,234.2529620450017,233.17344455591405,231.1595216965101
64,234.71611022014872,233.67704837035086,231.71365341131863
65,235.17925839529573,233.88467793802147,232.2677851261271
66,235.64240657044274,234.38828175245828,232.82191684093564
67,236.10555474558976,234.8918855668951,233.37604855574418
68,236.56870292073677,235.3954893813319,233.9301802705527
69,237.03185109588378,235.89909319576873,234.48431198536124
70,237.4949992710308,236.40269701020554,235.03844370016978
71,237.9581474461778,236.90630082464236,235.5925754149783
72,238.42129562132482,237.40990463907917,236.14670712978685
73,238.88444379647183,237.913508453516,236.70083884459538
74,239.34759197161884,238.4171122679528,237.25497055940392
75,239.81074014676585,238.92071608238962,237.80910227421245
76,240.27388832191286,239.42431989682643,238.36323398902098
77,240.73703649705988,239.92792371126325,238.91736570382952
78,241.2001846722069,240.43152752570006,239.47149741863805
79,241.6633328473539,240.93513134013688,240.02562913344659
80,242.1264810225009,241.4387351545737,240.57976084825512
81,242.58962919764792,241.9423389690105,241.13389256306365
82,243.05277737279494,242.44594278344732,241.6880242778722
83,243.51592554794195,242.94954659788414,242.24215599268072
84,243.97907372308896,243.45315041232095,242.79628770748926
85,244.44222189823597,243.95675422675777,243.3504194222978
86,244.90537007338298,244.46035804119458,243.90455113710632
87,245.36851824853,244.9639618556314,244.45868285191486
88,245.831666423677,245.4675656700682,245.0128145667234
89,246.29481459882402,245.97116948450503,245.56694628153193
90,246.75796277397103,246.4747732989422,246.12107799634032
91,247.22111094911804,246.97837711337695,246.67520971114882
92,247.68425912426505,247.4819809278141,247.22934142595736
93,248.14740729941207,247.9855847422513,247.78347314076586
94,248.61055547455908,248.48918855668845,248.3376048555744
95,249.0737036497061,248.99279237112563,248.89173657038293
96,249.536851824853,249.49639618556282,249.44586828519147
97,250.0,250.0,250.0
