Time_Period,MCS_1_A0_kWh,MCS_1_A1S_kWh,MCS_1_A2S_kWh
1,250.0,250.0,250.0
2,250.0,250.0,250.0
3,250.0,250.0,250.0
4,247.89473684210526,250.00000000000003,250.0
5,247.89473684210526,250.0,247.89473684210526
6,247.89473684210526,247.89473684210526,247.89473684210526
7,247.89473684210526,247.89473684210526,245.78947368421052
8,245.78947368421052,245.7894736842105,245.78947368421052
9,243.68421052631578,243.68421052631575,243.82713531959794
10,243.68421052631578,243.68421052631575,243.82713531959794
11,243.68421052631578,244.1528749505342,243.82713531959794
12,243.68421052631578,244.62153937475264,243.82713531959794
13,241.57894736842104,245.0915631916047,241.7218721617032
14,241.57894736842104,245.56158700845677,241.7218721617032
15,241.57894736842104,246.03517357834528,241.7218721617032
16,241.57894736842104,246.51635071908817,241.7218721617032
17,241.57894736842104,246.99752785983105,241.7218721617032
18,239.4736842105263,247.47960556024375,239.61660900380846
19,237.36842105263156,247.96168326065646,239.61660900380846
20,237.36842105263156,248.44376096106916,240.03961513297918
21,237.83840910416308,248.92583866148186,240.4626212621499
22,238.30839715569456,249.40791636189456,240.88787030417905
23,238.77838520722608,249.40791636189456,241.3131193462082
24,239.24837325875757,247.7359496028918,241.73836838823735
25,239.71836131028908,245.7186846954709,242.1636174302665
26,240.18834936182057,245.7186846954709,242.58886647229565
27,240.6583374133521,245.7186846954709,243.0141155143248
28,241.12832546488357,244.01574295929638,243.43936455635395
29,241.59831351641506,244.01574295929638,243.43936455635395
30,242.06830156794658,244.01574295929638,241.3341013984592
31,242.53828961947806,244.01574295929638,241.3341013984592
32,243.00827767100958,244.01574295929638,241.3341013984592
33,243.47826572254107,242.310246817987,239.22883824056447
34,243.47826572254107,242.310246817987,239.22883824056447
35,241.37300256464633,242.310246817987,239.22883824056447
36,241.37300256464633,242.310246817987,239.22883824056447
37,241.37300256464633,242.310246817987,239.22883824056447
38,239.84684152208777,241.85566074232185,237.12357508266973
39,239.84684152208777,239.7503975844271,235.018311924775
40,239.84684152208777,237.64513442653237,232.91304876688025
41,237.74157836419303,235.53987126863763,230.8077856089855
42,235.6363152062983,233.7909436659718,228.70252245109077
43,233.53105204840355,231.68568050807707,227.987144552345
44,231.4257888905088,229.783269495475,227.987144552345
45,229.32052573261407,229.783269495475,227.987144552345
46,229.32052573261407,229.783269495475,227.987144552345
47,229.32052573261407,229.783269495475,227.987144552345
48,229.32052573261407,229.783269495475,227.987144552345
49,229.32052573261407,229.783269495475,227.987144552345
50,229.32052573261407,229.783269495475,227.987144552345
51,229.32052573261407,229.783269495475,227.987144552345
52,229.32052573261407,229.783269495475,227.987144552345
53,229.32052573261407,229.783269495475,227.987144552345
54,229.7905137841456,230.2653471958877,228.4874367216099
55,230.26050183567708,230.7474248963004,228.9877288908748
56,230.73048988720856,231.2295025967131,229.4880210601397
57,231.20047793874008,231.7115802971258,229.98831322940458
58,231.67046599027157,232.1936579975385,230.48860539866948
59,232.14045404180308,232.6757356979512,230.98889756793437
60,232.61044209333457,233.1578133983639,231.48918973719927
61,233.08043014486609,233.63989109877662,231.98948190646416
62,233.55041819639757,233.63989109877662,232.48977407572906
63,234.02040624792906,234.12196879918932,232.99006624499395
64,234.49039429946058,234.5735135867934,233.49035841425885
65,234.96038235099206,234.5735135867934,233.99065058352363
66,235.43037040252358,235.0555912872061,234.49094275278853
67,235.90035845405507,235.53766898761882,234.99123492205342
68,236.37034650558655,236.01974668803152,235.49152709131832
69,236.84033455711807,236.50182438844422,235.9918192605832
70,237.31032260864956,236.98390208885692,236.4921114298481
71,237.78031066018104,237.46597978926962,236.992403599113
72,238.25029871171256,237.94805748968233,237.4926957683779
73,238.72028676324405,238.43013519009503,237.9929879376428
74,239.19027481477553,238.91221289050773,238.4932801069077
75,239.66026286630705,239.39429059092043,238.99357227617259
76,240.13025091783854,239.87636829133314,239.49386444543748
77,240.60023896937005,240.35844599174584,239.99415661470238
78,241.07022702090154,240.84052369215854,240.49444878396727
79,241.54021507243303,241.32260139257124,240.99474095323217
80,242.01020312396454,241.80467909298395,241.49503312249706
81,242.48019117549603,242.28675679339665,241.99532529176196
82,242.95017922702752,242.76883449380935,242.49561746102685
83,243.42016727855903,243.25091219422205,242.99590963029175
84,243.89015533009052,243.73298989463476,243.49620179955664
85,244.360143381622,244.21506759504746,243.99649396882154
86,244.83013143315353,244.69714529546016,244.49678613808643
87,245.300119484685,245.17922299587286,244.99707830735133
88,245.77010753621653,245.66130069628556,245.49737047661623
89,246.24009558774802,246.14337839669827,245.99766264588112
90,246.7100836392795,246.62545609711105,246.4979548151458
91,247.18007169081102,247.1075337975233,246.99824698441068
92,247.6500597423425,247.58961149793606,247.49853915367552
93,248.120047793874,248.07168919834885,247.99883132294042
94,248.5900358454055,248.5537668987616,248.49912349220529
95,249.060023896937,249.0358445991744,248.99941566147018
96,249.53001194846848,249.5179222995872,249.4997078307351
97,250.0,250.0,250.0
