Time_Period,CEV_1_A0_kWh,CEV_1_A1S_kWh,CEV_1_A2S_kWh
1,14.8,14.8,14.8
2,13.57070752865351,13.57070752865351,13.57070752865351
3,12.328934998927005,14.8,12.328934998927005
4,14.328934998927005,13.558227470273495,11.112147538261627
5,13.112147538261627,12.341440009608117,9.900460632624137
6,11.900460632624137,11.129753103970627,11.900460632624155
7,13.900460632624137,9.946612965467214,10.717320494120742
8,14.8,11.946612965467214,9.537897919440562
9,13.616859861496586,13.946612965467214,8.355266423352148
10,12.839006498275243,12.767190390787034,10.355266423352148
11,11.659583923595063,11.584558894696771,12.355266423352148
12,10.4769524275048,10.38755294032634,11.158260468981716
13,12.4769524275048,9.167388281647845,13.158260468981712
14,11.27994647313437,9.167388281647845,11.938095810303217
15,10.16054258753302,8.047984396046497,10.818691924701868
16,8.940377928854526,6.853540366756247,9.624247895411619
17,7.745933899564276,5.665468945976997,8.846394532190276
18,9.745933899564276,5.665468945976997,8.846394532190276
19,11.745933899564276,5.665468945976997,8.846394532190276
20,11.745933899564276,5.665468945976997,8.846394532190276
21,11.745933899564276,5.665468945976997,8.846394532190276
22,11.745933899564276,5.665468945976997,8.846394532190276
23,11.745933899564276,5.665468945976997,8.846394532190276
24,11.745933899564276,7.269396371264368,8.846394532190276
25,11.745933899564276,9.184979138354509,10.846394532190276
26,10.557862478785026,8.04682816043038,9.658323111411026
27,9.419711500860897,6.8642110185975245,8.520172133486897
28,8.180859280399124,8.68393626217908,7.281319913025124
29,6.998242138566269,7.4450840417173065,6.535407399082793
30,6.998242138566269,6.667230678495963,8.535407399082793
31,6.252329624623938,5.921318164553632,7.3527902572499375
32,5.445703973985964,5.114692513915658,6.546164606611963
33,4.6351561805831265,7.042884604530755,5.735616813209126
34,3.506128590281339,6.232336811127918,4.606589222907338
35,5.506128590281332,5.10330922082613,6.606589222907338
36,4.742359569685364,4.339540200230163,5.842820202311371
37,3.956282920358802,3.5534635509036003,5.056743552984809
38,3.956282920358802,5.553463550903601,7.056743552984809
39,3.956282920358802,7.286659813110338,9.056743552984809
40,3.956282920358802,9.286659813110338,11.056743552984809
41,3.956282920358802,11.286659813110338,13.056743552984809
42,3.956282920358802,13.286659813110338,14.8
43,3.956282920358802,14.8,14.8
44,3.956282920358802,14.8,14.8
45,5.956282920358802,14.8,14.8
46,7.956282920358802,14.8,14.8
47,7.956282920358802,14.8,14.8
48,9.956282920358802,14.8,14.8
49,11.956282920358802,14.8,14.8
50,11.991019762464086,14.8,14.8
51,13.991019762464086,14.8,14.8
52,14.8,14.8,14.8
53,14.8,14.8,14.8
54,14.8,14.8,14.8
55,14.8,14.8,14.8
56,14.8,14.8,14.8
57,14.8,14.8,14.8
58,14.8,14.8,14.8
59,14.8,14.8,14.8
60,14.8,14.8,14.8
61,14.8,14.8,14.8
62,14.8,14.8,14.8
63,14.8,14.8,14.8
64,14.8,14.8,14.8
65,14.8,14.8,14.8
66,14.8,14.8,14.8
67,14.8,14.8,14.8
68,14.8,14.8,14.8
69,14.8,14.8,14.8
70,14.8,14.8,14.8
71,14.8,14.8,14.8
72,14.8,14.8,14.8
73,14.8,14.8,14.8
74,14.8,14.8,14.8
75,14.8,14.8,14.8
76,14.8,14.8,14.8
77,14.8,14.8,14.8
78,14.8,14.8,14.8
79,14.8,14.8,14.8
80,14.8,14.8,14.8
81,14.8,14.8,14.8
82,14.8,14.8,14.8
83,14.8,14.8,14.8
84,14.8,14.8,14.8
85,14.8,14.8,14.8
86,14.8,14.8,14.8
87,14.8,14.8,14.8
88,14.8,14.8,14.8
89,14.8,14.8,14.8
90,14.8,14.8,14.8
91,14.8,14.8,14.8
92,14.8,14.8,14.8
93,14.8,14.8,14.8
94,14.8,14.8,14.8
95,14.8,14.8,14.8
96,14.8,14.8,14.8
97,14.8,14.8,14.8
