Metric,A1S,A2S
Total_Cost_USD,568.14,67.81
Total_Energy_Cost_USD,7.77,7.95
Total_CO2_Cost_USD,0.31,0.32
NC_demand_charge_USD,40.06,39.54
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,500.0,0.0
Travel_Labour_USD,20.0,20.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,25.91,25.71
Total_CO2_Emissions_kg,6.27,6.46
NCD_Peak_kW,1.99,1.97
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.25,0.0
MCS_Transit_hour,1.0,1.0
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,96.46,10765.96
