Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A1S_minus_A0_cum_kWh
1,08:00,0.0,0.0,5.1226,Digging,Traveling,0.0,0.0,4.9634,Digging,Traveling,0.0
2,08:15,0.0,0.0,4.8544,Digging,Idle,4.358842105263168,1.089710526315792,0.0,Charging,Serving CEV,1.089710526315792
3,08:30,8.0,2.0,1.3131,Charging,Serving CEV,0.0,1.089710526315792,4.7843,Digging,Idle,-0.910289473684208
4,08:45,0.0,2.0,4.2026,Digging,Idle,0.0,1.089710526315792,4.9634,Digging,Idle,-0.910289473684208
5,09:00,0.0,2.0,4.7653,Digging,Idle,8.0,3.089710526315792,0.2629,Charging,Serving CEV,1.089710526315792
6,09:15,0.0,2.0,4.5117,Traveling,Idle,0.0,3.089710526315792,4.4919,Digging,Idle,1.089710526315792
7,09:30,8.0,4.0,0.0,Charging,Serving CEV,0.0,3.089710526315792,4.617,Traveling,Idle,-0.910289473684208
8,09:45,7.999999999999972,5.999999999999993,0.061,Charging,Serving CEV,7.999999999999978,5.089710526315787,0.0,Charging,Serving CEV,-0.9102894736842062
9,10:00,0.0,5.999999999999993,4.7843,Digging,Idle,0.0,5.089710526315787,4.7809,Digging,Idle,-0.9102894736842062
10,10:15,0.0,5.999999999999993,4.2026,Digging,Idle,0.0,5.089710526315787,5.3659,Digging,Idle,-0.9102894736842062
11,10:30,0.0,5.999999999999993,4.8905,Digging,Idle,0.0,5.089710526315787,4.2907,Digging,Idle,-0.9102894736842062
12,10:45,8.0,7.999999999999993,0.1325,Charging,Serving CEV,8.000000000000083,7.089710526315807,0.0,Charging,Serving CEV,-0.9102894736841858
13,11:00,0.0,7.999999999999993,4.4919,Digging,Idle,0.0,7.089710526315807,4.9351,Digging,Idle,-0.9102894736841858
14,11:15,0.0,7.999999999999993,4.7746,Traveling,Idle,0.0,7.089710526315807,4.5506,Traveling,Idle,-0.9102894736841858
15,11:30,0.0,7.999999999999993,4.8544,Digging,Idle,0.0,7.089710526315807,4.78,Digging,Idle,-0.9102894736841858
16,11:45,0.0,7.999999999999993,4.8905,Digging,Idle,0.0,7.089710526315807,5.2098,Digging,Idle,-0.9102894736841858
17,12:00,8.0,9.999999999999993,0.0,Charging,Serving CEV,8.0,9.089710526315807,0.0,Charging,Serving CEV,-0.9102894736841858
18,12:15,8.0,11.999999999999993,0.0,Charging,Serving CEV,8.0,11.089710526315807,0.0,Charging,Serving CEV,-0.9102894736841858
19,12:30,0.0,11.999999999999993,0.0,,Traveling,0.0,11.089710526315807,0.0,,Traveling,-0.9102894736841858
20,12:45,0.0,11.999999999999993,0.0,,Charging (grid),0.0,11.089710526315807,0.0,,Charging (grid),-0.9102894736841858
21,13:00,0.0,11.999999999999993,0.0,,Charging (grid),0.0,11.089710526315807,0.0,,Charging (grid),-0.9102894736841858
