Time_Period,MCS_1_A0_kWh,MCS_1_A2S_kWh
1,250.0,250.0
2,250.0,250.0
3,248.67243767313022,250.0
4,248.6724376731308,250.0
5,248.6724376731308,250.0
6,246.56717451523605,247.98197310959696
7,246.56717451523605,247.98197310959696
8,246.56717451523605,247.98197310959696
9,244.4619113573413,247.3357477672888
10,244.4619113573413,247.3357477672888
11,244.78466066481974,245.35877007907555
12,245.2587824225634,245.35877007907555
13,245.73290418030706,243.64392954981122
14,246.20702593805072,243.64392954981122
15,246.68114769579438,244.05084926678825
16,247.15526945353804,244.45776898376528
17,247.6293912112817,244.8646887007423
18,248.10351296902536,245.27160841771934
19,248.57763472676902,245.67852813469636
20,249.05175648451268,246.0854478516734
21,249.52587824225634,246.49236756865042
22,250.0,246.89928728562745
23,250.0,247.30620700260448
24,247.89473684210526,247.30620700260448
25,245.78947368421052,245.62655233581353
26,245.78947368421052,245.62655233581353
27,245.78947368421052,245.62655233581353
28,245.78947368421052,245.62655233581353
29,243.68421052631578,245.62655233581353
30,243.68421052631578,243.5212891779188
31,243.68421052631578,243.5212891779188
32,243.68421052631578,243.5212891779188
33,243.68421052631578,243.5212891779188
34,241.57894736842104,241.41602602002405
35,241.57894736842104,241.41602602002405
36,241.57894736842104,241.41602602002405
37,241.57894736842104,241.41602602002405
38,239.4736842105263,239.3107628621293
39,237.36842105263156,237.20549970423457
40,235.26315789473682,235.10023654633983
41,235.26315789473682,232.9949733884451
42,233.15789473684208,231.77364223413977
43,231.05263157894734,231.77364223413977
44,231.05263157894734,231.77364223413977
45,229.13864265927918,231.77364223413977
46,229.13864265927918,231.77364223413977
47,229.13864265927918,231.77364223413977
48,229.13864265927918,231.77364223413977
49,229.13864265927918,231.77364223413977
50,229.13864265927918,231.77364223413977
51,229.13864265927918,231.77364223413977
52,229.13864265927918,231.77364223413977
53,229.13864265927918,231.77364223413977
54,229.61276441702285,232.1878776379093
55,230.0868861747665,232.60211304167885
56,230.56100793251017,233.0163484454484
57,231.03512969025383,233.43058384921792
58,231.50925144799749,233.84481925298746
59,231.98337320574115,234.259054656757
60,232.4574949634848,234.67329006052654
61,232.93161672122847,235.08752546429608
62,233.40573847897213,235.50176086806562
63,233.87986023671579,235.91599627183516
64,234.35398199445945,236.3302316756047
65,234.8281037522031,236.74446707937437
66,235.30222550994677,237.15870248314405
67,235.77634726769043,237.57293788691373
68,236.25046902543409,237.98717329068342
69,236.72459078317775,238.4014086944531
70,237.1987125409214,238.81564409822278
71,237.67283429866507,239.22987950199246
72,238.14695605640873,239.64411490576214
73,238.6210778141524,240.05835030953182
74,239.09519957189605,240.4725857133015
75,239.5693213296397,240.88682111707118
76,240.04344308738337,241.30105652084086
77,240.51756484512703,241.71529192461054
78,240.9916866028707,242.12952732838022
79,241.46580836061435,242.5437627321499
80,241.939930118358,242.95799813591958
81,242.41405187610167,243.37223353968926
82,242.88817363384533,243.78646894345894
83,243.362295391589,244.20070434722862
84,243.83641714933265,244.6149397509983
85,244.3105389070763,245.02917515476798
86,244.78466066481997,245.44341055853766
87,245.25878242256363,245.85764596230734
88,245.7329041803073,246.27188136607703
89,246.20702593805095,246.6861167698467
90,246.6811476957946,247.10035217361224
91,247.15526945353827,247.51458757738192
92,247.62939121128193,247.9288229811516
93,248.1035129690256,248.34305838492128
94,248.57763472676925,248.75729378869096
95,249.0517564845129,249.17152919246064
96,249.52587824225634,249.58576459623032
97,250.0,250.0
