Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A2R_Discharge_kW,A2R_Discharge_cum_kWh,A2R_Work_kW,A2R_CEV1_Activity,A2R_MCS_Status,A2R_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.679845993724483,Digging,Traveling,0.0,0.0,4.679845993724483,Digging,Traveling,0.0
2,08:15,0.0,0.0,5.5824386527306356,Digging,Idle,0.0,0.0,5.5824386527306356,Digging,Idle,0.0
3,08:30,0.0,0.0,4.167936747401412,Digging,Idle,0.0,0.0,4.167936747401412,Digging,Idle,0.0
4,08:45,0.0,0.0,3.6909496746266566,Digging,Idle,6.525769077627772,1.631442269406943,0.0,Charging,Serving CEV,1.631442269406943
5,09:00,8.0,2.0,0.0,Charging,Serving CEV,0.0,1.631442269406943,3.6909496746266566,Digging,Idle,-0.36855773059305696
6,09:15,0.0,2.0,6.421291841929734,Traveling,Idle,0.0,1.631442269406943,6.421291841929734,Traveling,Idle,-0.36855773059305696
7,09:30,8.0,4.0,0.0,Charging,Serving CEV,8.0,3.631442269406943,0.0,Charging,Serving CEV,-0.3685577305930572
8,09:45,0.0,4.0,2.9690539994732656,Digging,Idle,0.0,3.631442269406943,2.9690539994732656,Digging,Idle,-0.3685577305930572
9,10:00,0.0,4.0,5.654796849460183,Digging,Idle,0.0,3.631442269406943,2.720143168060706,Loading/Swinging,Idle,-0.3685577305930572
10,10:15,0.0,4.0,5.4801887353271335,Digging,Idle,0.0,3.631442269406943,2.9593393155052388,Loading/Swinging,Idle,-0.3685577305930572
11,10:30,0.0,4.0,4.738110279329003,Digging,Idle,6.996939079078871,5.3806770391766605,0.0,Charging,Serving CEV,1.3806770391766605
12,10:45,4.511300000000013,5.127825000000003,0.0,Charging,Serving CEV,7.991477115329381,7.378546318009006,0.0,Charging,Serving CEV,2.2507213180090027
13,11:00,8.0,7.127825000000003,0.0,Charging,Serving CEV,0.0,7.378546318009006,5.654796849460183,Digging,Idle,0.25072131800900266
14,11:15,0.0,7.127825000000003,3.840793988901714,Traveling,Idle,0.0,7.378546318009006,3.840793988901714,Traveling,Idle,0.25072131800900266
15,11:30,0.0,7.127825000000003,2.720143168060706,Loading/Swinging,Idle,0.0,7.378546318009006,5.4801887353271335,Digging,Idle,0.25072131800900266
16,11:45,0.0,7.127825000000003,5.003593261134805,Digging,Idle,0.0,7.378546318009006,4.738110279329003,Digging,Idle,0.25072131800900266
17,12:00,0.0,7.127825000000003,0.0,Idle,Idle,0.0,7.378546318009006,0.0,Idle,Idle,0.25072131800900266
18,12:15,0.0,7.127825000000003,0.0,Idle,Idle,8.0,9.378546318009006,0.0,Charging,Serving CEV,2.2507213180090027
19,12:30,0.0,7.127825000000003,0.0,Idle,Idle,0.0,9.378546318009006,0.0,Idle,Idle,2.2507213180090027
20,12:45,0.0,7.127825000000003,0.0,Idle,Idle,8.0,11.378546318009006,0.0,Charging,Serving CEV,4.250721318009003
21,13:00,3.1999999999999993,7.927825000000003,0.0,Charging,Serving CEV,0.0,11.378546318009006,0.0,Idle,Idle,3.450721318009003
22,13:15,8.0,9.927825000000002,0.0,Charging,Serving CEV,0.0,11.378546318009006,0.0,Idle,Idle,1.4507213180090037
23,13:30,8.0,11.927825000000002,0.0,Charging,Serving CEV,7.39070397443416,13.226222311617546,0.0,Charging,Serving CEV,1.2983973116175438
24,13:45,8.0,13.927825000000002,0.0,Charging,Serving CEV,0.0,13.226222311617546,0.0,Idle,Idle,-0.7016026883824562
25,14:00,0.0,13.927825000000002,4.271408926580865,Digging,Idle,0.0,13.226222311617546,5.003593261134805,Digging,Idle,-0.7016026883824562
26,14:15,0.0,13.927825000000002,5.112601651377284,Digging,Idle,0.0,13.226222311617546,4.271408926580865,Digging,Idle,-0.7016026883824562
27,14:30,0.0,13.927825000000002,4.8696588712163855,Traveling,Idle,8.0,15.226222311617546,0.0,Charging,Serving CEV,1.2983973116175438
28,14:45,0.0,13.927825000000002,6.524473377224391,Digging,Idle,0.0,15.226222311617546,4.8696588712163855,Traveling,Idle,1.2983973116175438
29,15:00,7.590700000000005,15.825500000000003,0.0,Charging,Serving CEV,0.0,15.226222311617546,2.8919475588526895,Loading/Swinging,Idle,-0.5992776883824575
30,15:15,0.0,15.825500000000003,2.9593393155052388,Loading/Swinging,Idle,0.0,15.226222311617546,5.112601651377284,Digging,Idle,-0.5992776883824575
31,15:30,0.0,15.825500000000003,2.8919475588526895,Loading/Swinging,Idle,0.0,15.226222311617546,6.524473377224391,Digging,Idle,-0.5992776883824575
32,15:45,0.0,15.825500000000003,3.2363668300052373,Loading/Swinging,Idle,8.0,17.226222311617548,0.0,Charging,Serving CEV,1.4007223116175442
33,16:00,0.0,15.825500000000003,4.923324857856662,Traveling,Idle,0.0,17.226222311617548,3.2363668300052373,Loading/Swinging,Idle,1.4007223116175442
34,16:15,8.0,17.825500000000005,0.0,Charging,Serving CEV,0.0,17.226222311617548,4.923324857856662,Traveling,Idle,-0.5992776883824575
35,16:30,0.0,17.825500000000005,4.8055385831629875,Loading/Swinging,Idle,0.0,17.226222311617548,4.8055385831629875,Loading/Swinging,Idle,-0.5992776883824575
36,16:45,0.0,17.825500000000005,3.6980773959691877,Loading/Swinging,Idle,8.0,19.226222311617548,0.0,Charging,Serving CEV,1.4007223116175425
37,17:00,8.0,19.825500000000005,0.0,Charging,Serving CEV,8.0,21.226222311617548,0.0,Charging,Serving CEV,1.4007223116175425
38,17:15,8.0,21.825500000000005,0.0,Charging,Serving CEV,8.0,23.226222311617548,0.0,Charging,Serving CEV,1.4007223116175425
39,17:30,8.0,23.825500000000005,0.0,Charging,Serving CEV,1.63891391741124,23.63595079097036,0.0,Charging,Serving CEV,-0.18954920902964645
40,17:45,0.0,23.825500000000005,0.0,Idle,Traveling,0.0,23.63595079097036,0.0,Idle,Idle,-0.18954920902964645
41,18:00,0.0,23.825500000000005,0.0,Idle,Idle,0.0,23.63595079097036,0.0,Idle,Traveling,-0.18954920902964645
42,18:15,0.0,23.825500000000005,0.0,Idle,Idle,0.0,23.63595079097036,0.0,Idle,Idle,-0.18954920902964645
43,18:30,0.0,23.825500000000005,0.0,Idle,Idle,0.0,23.63595079097036,0.0,Idle,Idle,-0.18954920902964645
44,18:45,0.0,23.825500000000005,0.0,Idle,Idle,0.0,23.63595079097036,0.0,Idle,Idle,-0.18954920902964645
45,19:00,0.0,23.825500000000005,0.0,Idle,Idle,0.0,23.63595079097036,0.0,Idle,Idle,-0.18954920902964645
46,19:15,0.0,23.825500000000005,0.0,Idle,Idle,0.0,23.63595079097036,0.0,Idle,Idle,-0.18954920902964645
47,19:30,0.0,23.825500000000005,0.0,Idle,Idle,0.0,23.63595079097036,0.0,Idle,Idle,-0.18954920902964645
