Metric,A0,A2S
Total_Cost_USD,171.74,158.67
Total_Energy_Cost_USD,45.89,43.25
Total_CO2_Cost_USD,1.86,1.84
NC_demand_charge_USD,54.0,53.58
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0
Travel_Labour_USD,70.0,60.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,143.64,137.39
Total_CO2_Emissions_kg,37.14,36.73
NCD_Peak_kW,2.68,2.66
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.0,0.0
MCS_Transit_hour,3.5,3.0
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,23.49,18688.49
