Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh
1,D1 08:00,14.8,14.8,2.96
2,D1 08:15,13.608869298277682,14.8,2.96
3,D1 08:30,12.361299130942982,14.8,2.96
4,D1 08:45,12.361299130942982,14.8,2.96
5,D1 09:00,11.202178310994267,14.8,2.96
6,D1 09:15,13.027725000000004,14.8,2.96
7,D1 09:30,11.898430364900902,14.8,2.96
8,D1 09:45,10.726488003272053,14.8,2.96
9,D1 10:00,10.726488003272053,14.8,2.96
10,D1 10:15,9.642333781987537,14.8,2.96
11,D1 10:30,8.390239028821851,14.8,2.96
12,D1 10:45,7.149062588091928,14.8,2.96
13,D1 11:00,7.7307500000000005,14.8,2.96
14,D1 11:15,6.535976010122172,14.8,2.96
15,D1 11:30,5.404809681112898,14.8,2.96
16,D1 11:45,4.193434938422833,14.8,2.96
17,D1 12:00,3.027843963371076,14.8,2.96
18,D1 12:15,4.288050000000002,14.8,2.96
19,D1 12:30,4.288050000000002,14.8,2.96
20,D1 12:45,6.288050000000002,14.8,2.96
21,D1 13:00,8.288050000000002,14.8,2.96
22,D1 13:15,10.288050000000002,14.8,2.96
23,D1 13:30,10.288050000000002,14.8,2.96
24,D1 13:45,12.288050000000002,14.8,2.96
25,D1 14:00,14.288050000000002,14.8,2.96
26,D1 14:15,13.069858920802917,14.8,2.96
27,D1 14:30,11.763382960352995,14.8,2.96
28,D1 14:45,11.8917,14.8,2.96
29,D1 15:00,10.553697047110077,14.8,2.96
30,D1 15:15,9.710267539652385,14.8,2.96
31,D1 15:30,8.928050638120087,14.8,2.96
32,D1 15:45,8.18048035099836,14.8,2.96
33,D1 16:00,8.34585,14.8,2.96
34,D1 16:15,7.512405390193682,14.8,2.96
35,D1 16:30,6.316745944998715,14.8,2.96
36,D1 16:45,5.56873201513058,14.8,2.96
37,D1 17:00,4.703744640394297,14.8,2.96
38,D1 17:15,4.8,14.8,2.96
39,D1 17:30,6.8,14.8,2.96
40,D1 17:45,8.8,14.8,2.96
41,D1 18:00,10.8,14.8,2.96
42,D1 18:15,12.8,14.8,2.96
43,D1 18:30,14.8,14.8,2.96
44,D1 18:45,14.8,14.8,2.96
45,D1 19:00,14.8,14.8,2.96
46,D1 19:15,14.8,14.8,2.96
47,D1 19:30,14.8,14.8,2.96
48,D1 19:45,14.8,14.8,2.96
49,D1 20:00,14.8,14.8,2.96
50,D1 20:15,14.8,14.8,2.96
51,D1 20:30,14.8,14.8,2.96
52,D1 20:45,14.8,14.8,2.96
53,D1 21:00,14.8,14.8,2.96
54,D1 21:15,14.8,14.8,2.96
55,D1 21:30,14.8,14.8,2.96
56,D1 21:45,14.8,14.8,2.96
57,D1 22:00,14.8,14.8,2.96
58,D1 22:15,14.8,14.8,2.96
59,D1 22:30,14.8,14.8,2.96
60,D1 22:45,14.8,14.8,2.96
61,D1 23:00,14.8,14.8,2.96
62,D1 23:15,14.8,14.8,2.96
63,D1 23:30,14.8,14.8,2.96
64,D1 23:45,14.8,14.8,2.96
65,D1 00:00,14.8,14.8,2.96
66,D1 00:15,14.8,14.8,2.96
67,D1 00:30,14.8,14.8,2.96
68,D1 00:45,14.8,14.8,2.96
69,D1 01:00,14.8,14.8,2.96
70,D1 01:15,14.8,14.8,2.96
71,D1 01:30,14.8,14.8,2.96
72,D1 01:45,14.8,14.8,2.96
73,D1 02:00,14.8,14.8,2.96
74,D1 02:15,14.8,14.8,2.96
75,D1 02:30,14.8,14.8,2.96
76,D1 02:45,14.8,14.8,2.96
77,D1 03:00,14.8,14.8,2.96
78,D1 03:15,14.8,14.8,2.96
79,D1 03:30,14.8,14.8,2.96
80,D1 03:45,14.8,14.8,2.96
81,D1 04:00,14.8,14.8,2.96
82,D1 04:15,14.8,14.8,2.96
83,D1 04:30,14.8,14.8,2.96
84,D1 04:45,14.8,14.8,2.96
85,D1 05:00,14.8,14.8,2.96
86,D1 05:15,14.8,14.8,2.96
87,D1 05:30,14.8,14.8,2.96
88,D1 05:45,14.8,14.8,2.96
89,D1 06:00,14.8,14.8,2.96
90,D1 06:15,14.8,14.8,2.96
91,D1 06:30,14.8,14.8,2.96
92,D1 06:45,14.8,14.8,2.96
93,D1 07:00,14.8,14.8,2.96
94,D1 07:15,14.8,14.8,2.96
95,D1 07:30,14.8,14.8,2.96
96,D1 07:45,14.8,14.8,2.96
97,D1 08:00,14.8,14.8,2.96
