Time_Period,CEV_1_A0_kWh,CEV_1_A1S_kWh,CEV_1_A2S_kWh
1,14.8,14.8,14.8
2,13.659275000000001,13.458525000000002,13.577375
3,12.452350000000001,14.74862894736842,12.336525
4,14.452350000000001,13.44617894736842,11.285875
5,13.401700000000002,12.25117894736842,9.925600000000001
6,12.121050000000002,14.235928947368484,11.925600000000001
7,10.927400000000002,12.955278947368484,10.804100000000002
8,12.920850000000002,14.8,12.804099999998504
9,14.8,13.622625000000001,14.770974999998504
10,13.586400000000001,12.4,13.585349999998504
11,12.28395,11.6499,12.885349999998505
12,11.0431,10.369250000000001,11.690124999998504
13,13.03655,10.369250000000001,13.690124999998504
14,11.841325,9.135475000000001,12.456349999998505
15,10.689675,8.013975000000002,11.313324999998505
16,9.387224999999999,6.672500000000002,10.190349999998505
17,8.516424999999998,6.027600000000002,9.125799999998504
18,10.516424999999998,6.027600000000002,9.125799999998504
19,12.516424999999998,6.027600000000002,9.125799999998504
20,12.516424999999998,6.027600000000002,9.125799999998504
21,12.516424999999998,6.027600000000002,9.125799999998504
22,12.516424999999998,6.027600000000002,9.125799999998504
23,12.516424999999998,6.027600000000002,9.125799999998504
24,12.516424999999998,8.027600000000003,9.125799999998504
25,12.516424999999998,10.005021052631578,11.125799999998504
26,11.320349999999998,8.813696052631578,10.053124999998504
27,10.129024999999999,7.6223710526315775,8.718399999998503
28,8.985999999999999,9.497430470914129,7.5357749999985035
29,8.33345,8.345355470914129,6.788199999998503
30,8.005175,7.280805470914128,8.781649999998503
31,7.042999999999999,6.421580470914128,7.741999999998503
32,6.442599999999999,5.769030470914128,6.546774999998504
33,5.4804249999999985,7.311944448899257,6.980111226540778
34,4.318349999999999,6.667044448899257,6.208411226540778
35,6.318349999999999,5.512644448899257,5.065386226540778
36,5.4591249999999985,4.327019448899257,3.982411226540778
37,4.4716999999999985,3.4677944488992574,3.166036226540778
38,5.921552990430634,5.467794448899257,5.166036226540778
39,5.921552990430634,7.29116871321583,7.166036226540778
40,5.921552990430634,9.195201646672851,9.166036226540779
41,7.921552990430634,11.195201646672851,11.166036226540779
42,9.921552990430634,13.195201646672851,13.166036226540779
43,11.921552990430634,14.8,14.8
44,13.921552990430634,14.8,14.8
45,14.8,14.8,14.8
46,14.8,14.8,14.8
47,14.8,14.8,14.8
48,14.8,14.8,14.8
49,14.8,14.8,14.8
50,14.8,14.8,14.8
51,14.8,14.8,14.8
52,14.8,14.8,14.8
53,14.8,14.8,14.8
54,14.8,14.8,14.8
55,14.8,14.8,14.8
56,14.8,14.8,14.8
57,14.8,14.8,14.8
58,14.8,14.8,14.8
59,14.8,14.8,14.8
60,14.8,14.8,14.8
61,14.8,14.8,14.8
62,14.8,14.8,14.8
63,14.8,14.8,14.8
64,14.8,14.8,14.8
65,14.8,14.8,14.8
66,14.8,14.8,14.8
67,14.8,14.8,14.8
68,14.8,14.8,14.8
69,14.8,14.8,14.8
70,14.8,14.8,14.8
71,14.8,14.8,14.8
72,14.8,14.8,14.8
73,14.8,14.8,14.8
74,14.8,14.8,14.8
75,14.8,14.8,14.8
76,14.8,14.8,14.8
77,14.8,14.8,14.8
78,14.8,14.8,14.8
79,14.8,14.8,14.8
80,14.8,14.8,14.8
81,14.8,14.8,14.8
82,14.8,14.8,14.8
83,14.8,14.8,14.8
84,14.8,14.8,14.8
85,14.8,14.8,14.8
86,14.8,14.8,14.8
87,14.8,14.8,14.8
88,14.8,14.8,14.8
89,14.8,14.8,14.8
90,14.8,14.8,14.8
91,14.8,14.8,14.8
92,14.8,14.8,14.8
93,14.8,14.8,14.8
94,14.8,14.8,14.8
95,14.8,14.8,14.8
96,14.8,14.8,14.8
97,14.8,14.8,14.8
