Metric,A0,A1S,A2S
Total_Cost_USD,1075.81,574.94,86.52
Total_Energy_Cost_USD,8.51,9.16,9.5
Total_CO2_Cost_USD,0.34,0.36,0.38
NC_demand_charge_USD,40.17,45.41,46.65
OP_demand_charge_USD,-0.0,0.0,0.0
Missed_Work_Penalty_USD,996.57,500.0,0.0
Travel_Labour_USD,20.0,20.0,30.0
Terminal_Shortfall_Penalty_USD,10.22,0.0,0.0
Total_Grid_Energy_kWh,27.79,28.92,29.88
Total_CO2_Emissions_kg,6.84,7.27,7.51
NCD_Peak_kW,2.0,2.26,2.32
OPD_Peak_kW,-0.0,0.0,0.0
Missed_Work_hour,0.5,0.25,0.0
MCS_Transit_hour,1.0,1.0,1.5
Terminal_SOE_Shortfall_kWh,0.022,0.0,0.0
Infeasible_windows,0,0,0
Solve_time_s,46.77,227.79,12971.18
