Time_Period,MCS_1_A0_kWh,MCS_1_A2S_kWh
1,250.0,250.0
2,250.0,250.0
3,250.0,250.0
4,247.89473684210526,250.0
5,247.89473684210526,250.0
6,247.89473684210526,247.89473684210526
7,247.89473684210526,247.89473684210526
8,245.78947368421052,247.89473684210526
9,243.68421052631578,247.89473684210526
10,243.68421052631578,247.89473684210526
11,243.68421052631578,245.78947368421052
12,243.68421052631578,245.78947368421052
13,241.57894736842104,243.68421052633397
14,241.57894736842104,243.68421052633397
15,241.57894736842104,244.12106401205565
16,241.57894736842104,244.55791749777734
17,241.57894736842104,244.9993274092437
18,239.4736842105263,245.44528229323245
19,237.36842105263156,245.8912371772212
20,237.36842105263156,246.3383396178742
21,237.83840910416308,246.78802985752532
22,238.30839715569456,247.2436912674674
23,238.77838520722608,247.7282118805613
24,239.24837325875757,247.7282118805613
25,239.71836131028908,245.7272650043134
26,240.18834936182057,245.7272650043134
27,240.6583374133521,245.7272650043134
28,241.12832546488357,245.7272650043134
29,241.59831351641506,245.7272650043134
30,242.06830156794658,243.62200184641867
31,242.53828961947806,243.62200184641867
32,243.00827767100958,243.62200184641867
33,243.47826572254107,241.51673868852393
34,243.47826572254107,241.51673868852393
35,241.37300256464633,240.27184671649522
36,241.37300256464633,240.27184671649522
37,241.37300256464633,240.27184671649522
38,239.84684152208777,238.16658355860048
39,239.84684152208777,236.06132040070574
40,239.84684152208777,233.956057242811
41,237.74157836419303,231.85079408491626
42,235.6363152062983,229.74553092702152
43,233.53105204840355,227.70674976358663
44,231.4257888905088,227.70674976358663
45,229.32052573261407,227.70674976358663
46,229.32052573261407,227.70674976358663
47,229.32052573261407,227.70674976358663
48,229.32052573261407,227.70674976358663
49,229.32052573261407,227.70674976358663
50,229.32052573261407,227.70674976358663
51,229.32052573261407,227.70674976358663
52,229.32052573261407,227.70674976358663
53,229.32052573261407,227.70674976358663
54,229.7905137841456,228.21341454168694
55,230.26050183567708,228.72007931978726
56,230.73048988720856,229.22674409788758
57,231.20047793874008,229.7334088759879
58,231.67046599027157,230.2400736540882
59,232.14045404180308,230.74673843218852
60,232.61044209333457,231.25340321028884
61,233.08043014486609,231.76006798838915
62,233.55041819639757,232.26673276648947
63,234.02040624792906,232.77339754458978
64,234.49039429946058,233.2800623226901
65,234.96038235099206,233.78672710079027
66,235.43037040252358,234.2933918788906
67,235.90035845405507,234.8000566569909
68,236.37034650558655,235.30672143509122
69,236.84033455711807,235.81338621319154
70,237.31032260864956,236.32005099129185
71,237.78031066018104,236.82671576939217
72,238.25029871171256,237.33338054749248
73,238.72028676324405,237.8400453255928
74,239.19027481477553,238.3467101036931
75,239.66026286630705,238.85337488179343
76,240.13025091783854,239.36003965989374
77,240.60023896937005,239.86670443799406
78,241.07022702090154,240.37336921609437
79,241.54021507243303,240.8800339941947
80,242.01020312396454,241.386698772295
81,242.48019117549603,241.89336355039532
82,242.95017922702752,242.40002832849564
83,243.42016727855903,242.90669310659595
84,243.89015533009052,243.41335788469627
85,244.360143381622,243.92002266279658
86,244.83013143315353,244.4266874408969
87,245.300119484685,244.93335221899721
88,245.77010753621653,245.44001699709753
89,246.24009558774802,245.94668177519785
90,246.7100836392795,246.45334655329788
91,247.18007169081102,246.96001133139816
92,247.6500597423425,247.46667610949848
93,248.120047793874,247.97334088759874
94,248.5900358454055,248.48000566569905
95,249.060023896937,248.98667044379937
96,249.53001194846848,249.49333522189968
97,250.0,250.0
