Time_Period,CEV_1_A0_kWh,CEV_1_A1S_kWh,CEV_1_A2S_kWh
1,14.8,14.8,14.8
2,13.60891587539222,13.60891587539222,13.60891587539222
3,14.8,14.8,12.361419709596555
4,13.552503834203804,13.552503834204336,11.202329912883966
5,12.393414037491215,12.393414037491409,10.0730518082198
6,14.393414037491215,14.393414037491503,12.0730518082198
7,13.264135932827049,13.264135932827337,10.824455950294938
8,12.015540074902187,12.015540074902475,9.74029632532786
9,14.015540074902187,14.015540074900866,9.009954362066317
10,12.931380449935109,12.931380449933787,10.956962284186265
11,11.679361896843847,11.67936189684229,9.704943731095003
12,10.4382563508859,10.438256350884343,8.463838185137057
13,10.4382563508859,12.438256350884847,7.381941937875666
14,9.243530708427837,11.243530708426785,6.1872162954176035
15,8.161634461166447,10.161634461165395,6.1872162954176035
16,6.950316132345521,8.950316132344469,5.376274451344878
17,5.7847593244342175,7.784759324433164,4.164956122523953
18,5.7847593244342175,9.157854772398254,4.164956122523953
19,5.7847593244342175,11.085586590926365,4.164956122523953
20,5.7847593244342175,11.085586590926365,4.164956122523953
21,5.7847593244342175,11.085586590926365,4.164956122523953
22,5.7847593244342175,11.085586590926365,6.164956122523953
23,5.7847593244342175,11.085586590926365,8.164956122523954
24,7.7847593244342175,11.085586590926365,10.164956122523954
25,9.784759324434217,11.085586590926365,11.03251584507813
26,8.566627971223138,10.355244627664822,9.866959037166826
27,7.260254635146613,9.544302783592098,8.75885442199877
28,6.152150019978557,8.436198168424042,7.540723068787689
29,8.152150019978556,7.63921232453491,6.743737224898557
30,7.421808056717014,7.63921232453491,8.743737224898556
31,6.6108662126442885,6.768527973670993,7.4373638888220315
32,5.813880368755156,5.95792046602871,6.566679537958115
33,4.94319601789124,5.220074862428998,5.419372925440922
34,6.94319601789124,4.072768249911805,4.608765417798639
35,5.795889405374047,5.886959565794117,6.608765417798639
36,4.985281897731764,4.668828212583037,8.60876541779864
37,4.247436294132052,3.3624548765065123,7.870919814198928
38,6.247436294132052,3.4019760591312376,9.870919814198928
39,8.24743629413205,5.39989599688783,11.870919814198928
40,10.24743629413205,7.294742315953274,13.870919814198928
41,10.24743629413205,9.19501356231825,14.8
42,12.24743629413205,11.19501356231825,14.8
43,14.24743629413205,13.19501356231825,14.8
44,14.24743629413205,14.8,14.8
45,14.8,14.8,14.8
46,14.8,14.8,14.8
47,14.8,14.8,14.8
48,14.8,14.8,14.8
49,14.8,14.8,14.8
50,14.8,14.8,14.8
51,14.8,14.8,14.8
52,14.8,14.8,14.8
53,14.8,14.8,14.8
54,14.8,14.8,14.8
55,14.8,14.8,14.8
56,14.8,14.8,14.8
57,14.8,14.8,14.8
58,14.8,14.8,14.8
59,14.8,14.8,14.8
60,14.8,14.8,14.8
61,14.8,14.8,14.8
62,14.8,14.8,14.8
63,14.8,14.8,14.8
64,14.8,14.8,14.8
65,14.8,14.8,14.8
66,14.8,14.8,14.8
67,14.8,14.8,14.8
68,14.8,14.8,14.8
69,14.8,14.8,14.8
70,14.8,14.8,14.8
71,14.8,14.8,14.8
72,14.8,14.8,14.8
73,14.8,14.8,14.8
74,14.8,14.8,14.8
75,14.8,14.8,14.8
76,14.8,14.8,14.8
77,14.8,14.8,14.8
78,14.8,14.8,14.8
79,14.8,14.8,14.8
80,14.8,14.8,14.8
81,14.8,14.8,14.8
82,14.8,14.8,14.8
83,14.8,14.8,14.8
84,14.8,14.8,14.8
85,14.8,14.8,14.8
86,14.8,14.8,14.8
87,14.8,14.8,14.8
88,14.8,14.8,14.8
89,14.8,14.8,14.8
90,14.8,14.8,14.8
91,14.8,14.8,14.8
92,14.8,14.8,14.8
93,14.8,14.8,14.8
94,14.8,14.8,14.8
95,14.8,14.8,14.8
96,14.8,14.8,14.8
97,14.8,14.8,14.8
